"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"KIAA1033"	""	"CLEC7A"	"SAMSN1"	"CXCL9"	""	"GZMB"	"LST1"	"CD3G"	"CD7"	"GMIP"	"IL2RA"	"CXCL11"	"NCF2"	"CX3CR1"	""	""	""
"LILRB1"	""	"CLIC2"	"THBS1"	"CYBA"	""	"GZMH"	"MNDA"	"CD69"	"CD96"	"GPR171"	"IL2RB"	"CXCL9"	"NCKAP1L"	"CYBB"	""	""	""
"LTB"	""	"CSF1R"	""	"CYBB"	""	"GZMK"	"NCF2"	"CD7"	"CHST12"	"GZMA"	"ITGB7"	"CYBB"	"NPL"	"FGL2"	""	""	""
"SEC24A"	""	"CXCL10"	""	"FGR"	""	"IL18RAP"	"NRBF2"	"CD96"	"CRTAM"	"GZMB"	"ITK"	"EBI3"	"PILRA"	"FGR"	""	""	""
"STAP1"	""	"CXCL9"	""	"GRB2"	""	"IL2RB"	"P2RY13"	"CRLF3"	"CST7"	"GZMH"	"LCK"	"HCK"	"RNASE6"	"FPR1"	""	""	""
"TNFRSF17"	""	"EBI3"	""	"HK3"	""	"KLRB1"	"PDE4B"	"CTSW"	"CTSW"	"GZMK"	"LTB"	"HK3"	"SLAMF8"	"HCK"	""	""	""
""	""	"FGL2"	""	"IGSF6"	""	"KLRK1"	"S100A12"	"CXCR6"	"CX3CR1"	"IL18RAP"	"RGS1"	"IGSF6"	"SLC15A3"	"HK3"	""	""	""
""	""	"GRB2"	""	"IL17RA"	""	"LAG3"	"TREM1"	"FAIM3"	"CXCR6"	"IL2RA"	""	"IL17RA"	"SLC31A1"	"HSPA6"	""	""	""
""	""	"GZMB"	""	"ITGAX"	""	"LTB"	"VNN2"	"GIMAP4"	"FAIM3"	"IL2RB"	""	"IRF8"	"TFEC"	"IL10RA"	""	""	""
""	""	"HCK"	""	"LILRA2"	""	"NKG7"	""	"GIMAP6"	"GIMAP4"	"ITGAL"	""	"LILRB1"	"TPP1"	"IL17RA"	""	""	""
""	""	"HK3"	""	"LILRB1"	""	"PRF1"	""	"GPR171"	"GIMAP6"	"ITGB7"	""	"MMP19"	"TREM2"	"IQGAP1"	""	""	""
""	""	"HLA-DQA1"	""	"MMP19"	""	"SERPINB9"	""	"GPSM3"	"GPR171"	"ITK"	""	"NECAP2"	""	"KIAA1033"	""	""	""
""	""	"IL10RA"	""	"MMP9"	""	""	""	"GZMA"	"GPR65"	"KLRB1"	""	"PILRA"	""	"LILRA2"	""	""	""
""	""	"IL2RA"	""	"MS4A6A"	""	""	""	"GZMB"	"GZMA"	"LAG3"	""	"PLEKHB2"	""	"LILRB1"	""	""	""
""	""	"ITGAX"	""	"NCF2"	""	""	""	"GZMK"	"GZMB"	"LCP2"	""	"SIGLEC1"	""	"LILRB2"	""	""	""
""	""	"KYNU"	""	"NCKAP1L"	""	""	""	"ICOS"	"GZMH"	"MTDH"	""	"SLAMF8"	""	"LILRB3"	""	""	""
""	""	"LILRB1"	""	"NECAP2"	""	""	""	"IKZF1"	"GZMK"	"NKG7"	""	"SLC11A1"	""	"LST1"	""	""	""
""	""	"LILRB2"	""	"PILRA"	""	""	""	"IL10RA"	"IL10RA"	"PRF1"	""	"SLC31A1"	""	"MNDA"	""	""	""
""	""	"MNDA"	""	"PLA2G7"	""	""	""	"IL16"	"IL16"	"PTPN7"	""	"TFEC"	""	"MS4A6A"	""	""	""
""	""	"MS4A6A"	""	"PLEKHB2"	""	""	""	"IL2RA"	"IL18RAP"	"PVRIG"	""	"TNFAIP6"	""	"MYO1F"	""	""	""
""	""	"NCF2"	""	"SIGLEC1"	""	""	""	"IL2RB"	"IL2RB"	""	""	"TPP1"	""	"NCF2"	""	""	""
""	""	"NECAP2"	""	"SLAMF8"	""	""	""	"ITGB7"	"ITGAL"	""	""	"TREM2"	""	"NCF4"	""	""	""
""	""	"NFKB1"	""	"SLC11A1"	""	""	""	"ITK"	"ITK"	""	""	""	""	"P2RY13"	""	""	""
""	""	"NR4A3"	""	"SLC31A1"	""	""	""	"KLRB1"	"KLRB1"	""	""	""	""	"PILRA"	""	""	""
""	""	"PDXK"	""	"STAB1"	""	""	""	"LCK"	"KLRK1"	""	""	""	""	"PLEK"	""	""	""
""	""	"PLA2G7"	""	"TFEC"	""	""	""	"LTB"	"LAG3"	""	""	""	""	"PPM1F"	""	""	""
""	""	"RHOG"	""	"TPP1"	""	""	""	"MBNL1"	"LCK"	""	""	""	""	"RGS19"	""	""	""
""	""	"RNASE6"	""	"TREM2"	""	""	""	"NECAP2"	"LTB"	""	""	""	""	"RHOG"	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"NFKB1"	"MMP19"	""	""	""	""	"RNASE2"	""	""	""
""	""	"SEC24A"	""	""	""	""	""	"PTGER2"	"MYO1F"	""	""	""	""	"S100A12"	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"PTPRCAP"	"NFKB1"	""	""	""	""	"SAMSN1"	""	""	""
