"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"SP140"	""	"LILRA5"	""	"KCNMB1"	""	""	""	""	""	""	""	"SIGLEC9"	""	"P2RY13"	""	""	""
"SRY"	""	"LILRB1"	""	"LAIR1"	""	""	""	""	""	""	""	"SLAMF8"	""	"PILRA"	""	""	""
"STAP1"	""	"LILRB2"	""	"LILRA2"	""	""	""	""	""	""	""	"SLC11A1"	""	"PLEK"	""	""	""
"TCL1A"	""	"LILRB4"	""	"LILRB1"	""	""	""	""	""	""	""	"SNX3"	""	"POU2F2"	""	""	""
"TCL6"	""	"MMP12"	""	"LILRB4"	""	""	""	""	""	""	""	"TFEC"	""	"PTEN"	""	""	""
"THPO"	""	"MNDA"	""	"LIMD2"	""	""	""	""	""	""	""	"TIE1"	""	"QKI"	""	""	""
"TLR7"	""	"MS4A4A"	""	"LY86"	""	""	""	""	""	""	""	"TNFAIP6"	""	"RETN"	""	""	""
"TNFRSF12A"	""	"MS4A6A"	""	"MAPKAP1"	""	""	""	""	""	""	""	"TREM2"	""	"RNASE2"	""	""	""
"TNFRSF17"	""	"NCF2"	""	"MARCO"	""	""	""	""	""	""	""	"VIM"	""	"SAMSN1"	""	""	""
"WNT2"	""	"PLA2G7"	""	"MERTK"	""	""	""	""	""	""	""	"VSIG4"	""	"SIGLEC9"	""	""	""
"ZNF208"	""	"PTCRA"	""	"MMP8"	""	""	""	""	""	""	""	""	""	"SLC11A1"	""	""	""
""	""	"RAB7A"	""	"MS4A4A"	""	""	""	""	""	""	""	""	""	"TLR2"	""	""	""
""	""	"RNASE6"	""	"MS4A6A"	""	""	""	""	""	""	""	""	""	"TLR7"	""	""	""
""	""	"RSAD2"	""	"MSR1"	""	""	""	""	""	""	""	""	""	"TLR8"	""	""	""
""	""	"SAMSN1"	""	"MYH11"	""	""	""	""	""	""	""	""	""	"TMEM127"	""	""	""
""	""	"SCT"	""	"MYO9B"	""	""	""	""	""	""	""	""	""	"TNFRSF8"	""	""	""
""	""	"SIGLEC1"	""	"NCF2"	""	""	""	""	""	""	""	""	""	"TREM1"	""	""	""
