"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"HLA-DOB"	""	"CD80"	""	"FPR2"	""	"GZMH"	"MNDA"	"CD69"	"CST7"	"GPR15"	"IL10RA"	"CYBB"	"RNASE6"	""	""	"FCAR"	""	"CCL24"
"HLA-DQA1"	""	"CD86"	""	"FPR3"	""	"GZMK"	"NCF2"	"CD7"	"CTSW"	"GPR171"	"IL2RA"	"EBI3"	"SLAMF8"	""	""	"FCER1A"	""	"CCL4"
"IL12B"	""	"CLEC10A"	""	"HK3"	""	"GZMM"	"P2RY13"	"CD96"	"CX3CR1"	"GPR68"	"IL2RB"	"FPR2"	"SLC15A3"	""	""	"FCN1"	""	"CCL8"
"IRF8"	""	"CLEC4A"	""	"IGSF6"	""	"IFNG"	"PDE4B"	"CTLA4"	"CXCR6"	"GZMA"	"ITGB7"	"FPR3"	"TFEC"	""	""	"FGL2"	""	"CCR1"
"KIAA0125"	""	"CLEC7A"	""	"IL12B"	""	"IL18RAP"	"VNN2"	"CTSW"	"CYTH4"	"GZMB"	"ITK"	"HCK"	"TREM2"	""	""	"FGR"	""	"CCR2"
"LILRB1"	""	"CLIC2"	""	"ITGAX"	""	"IL2RB"	""	"CXCR6"	"EOMES"	"GZMH"	"LCK"	"HK3"	""	""	""	"FPR1"	""	"CCR3"
"LTB"	""	"CSF1R"	""	"LILRA2"	""	"KIR2DL3"	""	"DPEP2"	"FAIM3"	"GZMK"	"LTB"	"IGSF6"	""	""	""	"FPR2"	""	"CCR5"
"LY9"	""	"CXCL10"	""	"LILRB1"	""	"KIR3DL1"	""	"FAIM3"	"FASLG"	"IFNG"	""	"IL12B"	""	""	""	"GPR183"	""	"CCR7"
"MEFV"	""	"CXCL9"	""	"MS4A6A"	""	"KIR3DL3"	""	"FCN1"	"GIMAP4"	"IL18RAP"	""	"IRF8"	""	""	""	"HCK"	""	"CD1A"
"PNOC"	""	"CYTH4"	""	"NCF2"	""	"KLRB1"	""	"GIMAP4"	"GIMAP6"	"IL2RA"	""	"LILRB1"	""	""	""	"HK3"	""	"CD1B"
"POU2F2"	""	"EBI3"	""	"NCKAP1L"	""	"KLRD1"	""	"GIMAP6"	"GNLY"	"IL2RB"	""	"PILRA"	""	""	""	"IL10RA"	""	"CD1C"
"RASGRP2"	""	"FGL2"	""	"PILRA"	""	"KLRF1"	""	"GPR132"	"GPR15"	"ITGAL"	""	"SIGLEC1"	""	""	""	"LILRA1"	""	"CD1E"
"S1PR4"	""	"FPR3"	""	"PLA2G7"	""	"KLRG1"	""	"GPR15"	"GPR171"	"ITGB7"	""	"SLAMF1"	""	""	""	"LILRA2"	""	"CD2"
"SPIB"	""	"GPR132"	""	"SIGLEC1"	""	"KLRK1"	""	"GPR171"	"GPR65"	"ITK"	""	"SLAMF8"	""	""	""	"LILRB1"	""	"CD209"
"STAP1"	""	"GZMB"	""	"SLAMF8"	""	"LAG3"	""	"GPR183"	"GPR68"	"KLRB1"	""	"TFEC"	""	""	""	"LILRB2"	""	"CD244"
"TNFRSF17"	""	"HAVCR2"	""	"STAB1"	""	"LTB"	""	"GPSM3"	"GZMA"	"KLRG1"	""	"TREM2"	""	""	""	"LILRB3"	""	"CD247"
""	""	"HCK"	""	"TFEC"	""	"NCR3"	""	"GZMA"	"GZMB"	"LAG3"	""	""	""	""	""	"LST1"	""	"CD27"
""	""	"HK3"	""	"TREM2"	""	"NKG7"	""	"GZMB"	"GZMH"	"LCP2"	""	""	""	""	""	"MEFV"	""	"CD300A"
""	""	"HLA-DQA1"	""	""	""	"PRF1"	""	"GZMK"	"GZMK"	"NCR3"	""	""	""	""	""	"MNDA"	""	"CD37"
""	""	"IL10RA"	""	""	""	"PTGDR"	""	"GZMM"	"GZMM"	"NKG7"	""	""	""	""	""	"MS4A6A"	""	"CD38"
""	""	"IL12B"	""	""	""	"SAMD3"	""	"ICOS"	"IFNG"	"PRF1"	""	""	""	""	""	"MYO1F"	""	"CD3D"
""	""	"IL19"	""	""	""	"TBX21"	""	"IFNG"	"IL10RA"	"SASH3"	""	""	""	""	""	"NCF2"	""	"CD3E"
""	""	"IL2RA"	""	""	""	"XCL1"	""	"IKZF1"	"IL16"	"SLAMF1"	""	""	""	""	""	"NCF4"	""	"CD3G"
""	""	"IL3RA"	""	""	""	""	""	"IL10RA"	"IL18RAP"	"TBX21"	""	""	""	""	""	"OSM"	""	"CD40"
""	""	"IRF4"	""	""	""	""	""	"IL16"	"IL2RB"	""	""	""	""	""	""	"P2RY13"	""	"CD5"
""	""	"KYNU"	""	""	""	""	""	"IL2RA"	"ITGAL"	""	""	""	""	""	""	"PILRA"	""	"CD53"
""	""	"LILRB1"	""	""	""	""	""	"IL2RB"	"ITK"	""	""	""	""	""	""	"PLEK"	""	"CD6"
""	""	"LILRB2"	""	""	""	""	""	"ITGB7"	"KLRB1"	""	""	""	""	""	""	"POU2F2"	""	"CD69"
""	""	"MNDA"	""	""	""	""	""	"ITK"	"KLRD1"	""	""	""	""	""	""	"SAMSN1"	""	"CD7"
""	""	"MS4A6A"	""	""	""	""	""	"JAK3"	"KLRG1"	""	""	""	""	""	""	"STAB1"	""	"CD79A"
""	""	"NCF2"	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	"TLR2"	""	"CD79B"
