"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"MEFV"	""	"CSF1R"	""	"CSF1R"	""	"IFNG"	"MNDA"	"GIMAP4"	"EOMES"	"GZMB"	""	"EBI3"	"PILRA"	""	""	"FCAR"	""	"CCL17"
"OSBPL10"	""	"CXCL10"	""	"CXCL9"	""	"IL18RAP"	"NCF2"	"GIMAP6"	"FASLG"	"GZMH"	""	"FPR2"	"RNASE6"	""	""	"FGL2"	""	"CCL22"
"PTPN6"	""	"CXCL9"	""	"CYBA"	""	"IL2RB"	"NMI"	"GPR132"	"GIMAP4"	"GZMK"	""	"FPR3"	"SLAMF8"	""	""	"FGR"	""	"CCL4"
"S1PR4"	""	"CYTH4"	""	"CYBB"	""	"KLRD1"	"P2RY13"	"GPR171"	"GIMAP6"	"IFNG"	""	"HCK"	"SLC31A1"	""	""	"FPR1"	""	"CCR1"
"SNX2"	""	"EBI3"	""	"FGR"	""	"KLRK1"	"PTEN"	"GPR183"	"GPR171"	"IL18RAP"	""	"HK3"	"SNX2"	""	""	"FPR2"	""	"CCR2"
"STAP1"	""	"FGL2"	""	"FPR2"	""	"NKG7"	"VNN2"	"GZMA"	"GPR65"	"IL2RA"	""	"IDO1"	"TFEC"	""	""	"GPR183"	""	"CCR3"
"UBE2G1"	""	"FPR3"	""	"FPR3"	""	"PRF1"	""	"GZMB"	"GZMA"	"IL2RB"	""	"IGSF6"	"TPP1"	""	""	"HCK"	""	"CCR5"
""	""	"GPR132"	""	"HK3"	""	""	""	"GZMK"	"GZMB"	"ITGAL"	""	"IRF8"	""	""	""	"HK3"	""	"CD19"
""	""	"GRSF1"	""	"IGSF6"	""	""	""	"IFNG"	"GZMH"	"ITGB7"	""	"LILRB1"	""	""	""	"IL10RA"	""	"CD2"
""	""	"GZMB"	""	"ITGAX"	""	""	""	"IL10RA"	"GZMK"	"ITK"	""	"NECAP2"	""	""	""	"IQGAP1"	""	"CD244"
