"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"IL12B"	""	"CXCL10"	""	"FPR3"	""	"KLRF1"	"MMP25"	"CXCR6"	"FASLG"	"IL2RA"	"RGS1"	"IDO1"	"SLC15A3"	""	""	"FCAR"	""	"CCL17"
"IRF8"	""	"CXCL9"	""	"GRB2"	""	"KLRG1"	"MNDA"	"DPEP2"	"GIMAP4"	"IL2RB"	""	"IGSF6"	"SNX2"	""	""	"FCER1A"	""	"CCL19"
"KIAA0125"	""	"CYTH4"	""	"HK3"	""	"KLRK1"	"NCF2"	"FAIM3"	"GIMAP6"	"ITGAL"	""	"IL12B"	"TFEC"	""	""	"FCN1"	""	"CCL22"
"KIAA1033"	""	"EBI3"	""	"IGSF6"	""	"LAG3"	"NRBF2"	"FAM65B"	"GPR15"	"ITGB7"	""	"IL17RA"	"TPP1"	""	""	"FGL2"	""	"CCL8"
"LILRB1"	""	"FGL2"	""	"IL12B"	""	"LTA"	"P2RY13"	"FCN1"	"GPR171"	"ITK"	""	"IRF8"	"TREM2"	""	""	"FGR"	""	"CCR1"
"LY9"	""	"FPR3"	""	"IL17RA"	""	"NCR3"	"PDE4B"	"GIMAP4"	"GPR65"	"KLRB1"	""	"LILRB1"	""	""	""	"FPR1"	""	"CCR2"
"MEFV"	""	"GRB2"	""	"ITGAX"	""	"NKG7"	"PTEN"	"GIMAP6"	"GPR68"	"KLRG1"	""	"MMP19"	""	""	""	"FPR2"	""	"CCR3"
"P2RX5"	""	"GZMB"	""	"LILRA2"	""	"PRDM2"	"S100A12"	"GPR15"	"GZMA"	"LAG3"	""	"NECAP2"	""	""	""	"GPR183"	""	"CCR5"
"PNOC"	""	"H6PD"	""	"LILRB1"	""	"PRF1"	"UBE2D1"	"GPR171"	"GZMB"	"LCP2"	""	"PILRA"	""	""	""	"HCK"	""	"CCR7"
"POU2F2"	""	"HAVCR2"	""	"MMP19"	""	"PTGDR"	"USP15"	"GPR183"	"GZMH"	"LTA"	""	"SIGLEC1"	""	""	""	"HK3"	""	"CD19"
"PRDM2"	""	"HCK"	""	"MS4A6A"	""	"SAMD3"	"VNN2"	"GPSM3"	"GZMK"	"MMP25"	""	"SLAMF1"	""	""	""	"IL10RA"	""	"CD1A"
"QRSL1"	""	"HK3"	""	"NCF2"	""	"SERPINB9"	"ZDHHC18"	"GZMA"	"GZMM"	"NCR3"	""	"SLAMF8"	""	""	""	"IL17RA"	""	"CD1B"
"RAPGEF1"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"TBX21"	""	"GZMB"	"IFNG"	"NKG7"	""	"SLC11A1"	""	""	""	"KIAA1033"	""	"CD1C"
"RASGRP2"	""	"IDO1"	""	"NECAP2"	""	"XCL1"	""	"GZMK"	"IL10RA"	"PRF1"	""	"TFEC"	""	""	""	"LILRA1"	""	"CD1E"
"S1PR4"	""	"IL10RA"	""	"NSMAF"	""	""	""	"GZMM"	"IL16"	"PTPN7"	""	"TNFAIP6"	""	""	""	"LILRA2"	""	"CD2"
"SNX2"	""	"IL12B"	""	"OSBPL11"	""	""	""	"ICOS"	"IL18RAP"	"SASH3"	""	"TNIP3"	""	""	""	"LILRB1"	""	"CD209"
"SPIB"	""	"IL2RA"	""	"PILRA"	""	""	""	"IFNG"	"IL2RB"	"SLAMF1"	""	"TPP1"	""	""	""	"LILRB2"	""	"CD244"
"STAP1"	""	"IL3RA"	""	"PLA2G7"	""	""	""	"IKZF1"	"ITGAL"	"SOS1"	""	"TREM2"	""	""	""	"LILRB3"	""	"CD247"
"TNFRSF17"	""	"IRF4"	""	"SIGLEC1"	""	""	""	"IL10RA"	"ITK"	"TBX21"	""	"WTAP"	""	""	""	"LST1"	""	"CD27"
"VPREB3"	""	"KYNU"	""	"SLAMF8"	""	""	""	"IL16"	"KLRB1"	""	""	""	""	""	""	"MEFV"	""	"CD300A"
""	""	"LILRB1"	""	"SLC11A1"	""	""	""	"IL2RA"	"KLRD1"	""	""	""	""	""	""	"MNDA"	""	"CD37"
""	""	"LILRB2"	""	"SNX2"	""	""	""	"IL2RB"	"KLRG1"	""	""	""	""	""	""	"MS4A6A"	""	"CD38"
""	""	"MMP12"	""	"STAB1"	""	""	""	"ITGB7"	"KLRK1"	""	""	""	""	""	""	"MYO1F"	""	"CD3D"
""	""	"MMP25"	""	"TFEC"	""	""	""	"ITK"	"LAG3"	""	""	""	""	""	""	"NCF2"	""	"CD3E"
""	""	"MNDA"	""	"TPP1"	""	""	""	"JAK3"	"LCK"	""	""	""	""	""	""	"NCF4"	""	"CD3G"
""	""	"MS4A6A"	""	"TREM2"	""	""	""	"KLRB1"	"LEPROTL1"	""	""	""	""	""	""	"OSBPL11"	""	"CD40"
""	""	"NCF2"	""	"WTAP"	""	""	""	"LCK"	"LY9"	""	""	""	""	""	""	"OSM"	""	"CD5"
""	""	"NECAP2"	""	""	""	""	""	"LEPROTL1"	"MMP19"	""	""	""	""	""	""	"P2RY13"	""	"CD6"
""	""	"NR4A3"	""	""	""	""	""	"LIMS1"	"MYO1F"	""	""	""	""	""	""	"PILRA"	""	"CD69"
""	""	"OSM"	""	""	""	""	""	"LTA"	"NCR3"	""	""	""	""	""	""	"PLEK"	""	"CD7"
""	""	"PITPNA"	""	""	""	""	""	"LY9"	"NKG7"	""	""	""	""	""	""	"POU2F2"	""	"CD79A"
""	""	"PLA2G7"	""	""	""	""	""	"MBNL1"	"PIK3IP1"	""	""	""	""	""	""	"PPM1F"	""	"CD79B"
""	""	"RAPGEF1"	""	""	""	""	""	"NECAP2"	"PPP1R2"	""	""	""	""	""	""	"PTEN"	""	"CD80"
""	""	"RHOG"	""	""	""	""	""	"OSM"	"PRF1"	""	""	""	""	""	""	"RGS19"	""	"CD84"
""	""	"RNASE6"	""	""	""	""	""	"PIK3IP1"	"PRMT2"	""	""	""	""	""	""	"RHOG"	""	"CD86"
""	""	"RSAD2"	""	""	""	""	""	"PRMT2"	"PTGDR"	""	""	""	""	""	""	"RNASE2"	""	"CD8B"
""	""	"SAMSN1"	""	""	""	""	""	"PTPRCAP"	"PTPRCAP"	""	""	""	""	""	""	"S100A12"	""	"CD96"
""	""	"SIGLEC1"	""	""	""	""	""	"RBMS1"	"PYHIN1"	""	""	""	""	""	""	"SAMSN1"	""	"CDV3"
""	""	"SLAMF1"	""	""	""	""	""	"RGS1"	"RGS1"	""	""	""	""	""	""	"SLC11A1"	""	"CFP"
""	""	"SLAMF8"	""	""	""	""	""	"SAMSN1"	"RHOG"	""	""	""	""	""	""	"STAB1"	""	"CHI3L1"
""	""	"SPIB"	""	""	""	""	""	"SELPLG"	"SASH3"	""	""	""	""	""	""	"TLR2"	""	"CISH"
""	""	"STAB1"	""	""	""	""	""	"SLAMF1"	"SLAMF1"	""	""	""	""	""	""	"TLR8"	""	"CLC"
""	""	"TFEC"	""	""	""	""	""	"SOS1"	"TBX21"	""	""	""	""	""	""	"UBE2D1"	""	"CLEC10A"
""	""	"TM7SF4"	""	""	""	""	""	"STAP1"	"TNFSF8"	""	""	""	""	""	""	"USP15"	""	"CLEC4A"
""	""	"TNFAIP6"	""	""	""	""	""	"TBX21"	"TRAF3IP3"	""	""	""	""	""	""	"WAS"	""	"CLEC4E"
""	""	"TRAF1"	""	""	""	""	""	"TCF7"	"TSC22D3"	""	""	""	""	""	""	"WTAP"	""	"CLEC5A"
""	""	"TREM2"	""	""	""	""	""	"THRAP3"	"WAS"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"WTAP"	""	""	""	""	""	"TNFSF8"	"XCL1"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	""	""	""	""	""	""	"TRAF1"	"ZAP70"	""	""	""	""	""	""	""	""	"COL4A3BP"
""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""	""	"CR1"
""	""	""	""	""	""	""	""	"TRAT1"	""	""	""	""	""	""	""	""	""	"CREB5"
""	""	""	""	""	""	""	""	"USP16"	""	""	""	""	""	""	""	""	""	"CRLF3"
""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
