"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"IL12B"	""	"CLIC2"	""	"FPR3"	""	"KIR2DL4"	"MMP25"	"FAIM3"	"FASLG"	"GZMK"	""	"HK3"	"TFEC"	""	""	"FGL2"	""	"CCL19"
"IL4R"	""	"CSF1R"	""	"GRB2"	""	"KIR3DL1"	"MNDA"	"FAM65B"	"GIMAP4"	"IFNG"	""	"IDO1"	"TPP1"	""	""	"FGR"	""	"CCL22"
"KIAA0125"	""	"CXCL10"	""	"HK3"	""	"KLRB1"	"NCF2"	"FCN1"	"GIMAP6"	"IL18RAP"	""	"IGSF6"	"TREM2"	""	""	"FPR1"	""	"CCL4"
"LILRB1"	""	"CXCL9"	""	"IGSF6"	""	"KLRD1"	"NRBF2"	"GIMAP4"	"GPR15"	"IL2RA"	""	"IL12B"	""	""	""	"FPR2"	""	"CCL8"
"LY9"	""	"CYTH4"	""	"IL12B"	""	"KLRF1"	"P2RY13"	"GIMAP6"	"GPR171"	"IL2RB"	""	"LILRB1"	""	""	""	"GPR183"	""	"CCR1"
"MEFV"	""	"EBI3"	""	"ITGAX"	""	"KLRG1"	"PDE4B"	"GPR132"	"GPR65"	"ITGAL"	""	"MMP19"	""	""	""	"HCK"	""	"CCR2"
"P2RX5"	""	"FGL2"	""	"LILRA2"	""	"KLRK1"	"PTEN"	"GPR15"	"GPR68"	"ITGB7"	""	"NECAP2"	""	""	""	"HIPK1"	""	"CCR3"
"PNOC"	""	"FPR3"	""	"LILRB1"	""	"LAG3"	"S100A12"	"GPR171"	"GZMA"	"ITK"	""	"PILRA"	""	""	""	"HK3"	""	"CCR5"
"POU2F2"	""	"GPR132"	""	"M6PR"	""	"LTA"	"USP15"	"GPR183"	"GZMH"	"KLRB1"	""	"SIGLEC1"	""	""	""	"HSPA6"	""	"CCR7"
"PTPN6"	""	"GRB2"	""	"MMP19"	""	"MGAT2"	"VNN2"	"GPSM3"	"GZMK"	"KLRG1"	""	"SLAMF1"	""	""	""	"IL10RA"	""	"CD160"
"RAPGEF1"	""	"HAVCR2"	""	"MMP9"	""	"NCR3"	"ZDHHC18"	"GZMA"	"GZMM"	"LAG3"	""	"SLAMF8"	""	""	""	"KDM6B"	""	"CD19"
"RASGRP2"	""	"HCK"	""	"MS4A6A"	""	"NKG7"	""	"GZMK"	"IFNG"	"LCP2"	""	"SLC11A1"	""	""	""	"LILRA1"	""	"CD1A"
"S1PR4"	""	"HK3"	""	"NCF2"	""	"PRF1"	""	"GZMM"	"IL10RA"	"LTA"	""	"TFEC"	""	""	""	"LILRA2"	""	"CD1B"
"SEC24A"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"PTGDR"	""	"HIPK1"	"IL16"	"MMP25"	""	"TNFAIP6"	""	""	""	"LILRB1"	""	"CD1C"
"SPIB"	""	"HS3ST3B1"	""	"NECAP2"	""	"SAMD3"	""	"ICOS"	"IL18RAP"	"NCR3"	""	"TNIP3"	""	""	""	"LILRB2"	""	"CD1E"
"STAP1"	""	"IDO1"	""	"NUMB"	""	"SERPINB9"	""	"IFNG"	"IL2RB"	"NKG7"	""	"TPP1"	""	""	""	"LILRB3"	""	"CD2"
"TNFRSF17"	""	"IL10RA"	""	"PILRA"	""	"SMEK1"	""	"IKZF1"	"ITGAL"	"PRF1"	""	"TREM2"	""	""	""	"LST1"	""	"CD209"
"UBE2G1"	""	"IL12B"	""	"PLA2G7"	""	"TBX21"	""	"IL10RA"	"ITK"	"PTPN7"	""	""	""	""	""	"MEFV"	""	"CD244"
"VPREB3"	""	"IL2RA"	""	"SIGLEC1"	""	"XCL1"	""	"IL16"	"KLRB1"	"SASH3"	""	""	""	""	""	"MNDA"	""	"CD247"
""	""	"IL3RA"	""	"SLAMF8"	""	"ZBTB1"	""	"IL2RA"	"KLRD1"	"SLAMF1"	""	""	""	""	""	"MS4A6A"	""	"CD27"
""	""	"IRF4"	""	"SLC11A1"	""	""	""	"IL2RB"	"KLRG1"	"TBX21"	""	""	""	""	""	"MTF1"	""	"CD300A"
""	""	"KDM6B"	""	"STAB1"	""	""	""	"ITGB7"	"KLRK1"	""	""	""	""	""	""	"MYO1F"	""	"CD37"
""	""	"KYNU"	""	"TFEC"	""	""	""	"ITK"	"LAG3"	""	""	""	""	""	""	"NCF2"	""	"CD38"
""	""	"LILRB1"	""	"TPP1"	""	""	""	"JAK3"	"LCK"	""	""	""	""	""	""	"NCF4"	""	"CD3E"
""	""	"LILRB2"	""	"TREM2"	""	""	""	"KLRB1"	"LY9"	""	""	""	""	""	""	"OSM"	""	"CD3G"
""	""	"MMP12"	""	""	""	""	""	"LCK"	"MMP19"	""	""	""	""	""	""	"P2RY13"	""	"CD40"
""	""	"MMP25"	""	""	""	""	""	"LIMS1"	"MYO1F"	""	""	""	""	""	""	"PILRA"	""	"CD5"
""	""	"MNDA"	""	""	""	""	""	"LTA"	"NCK1"	""	""	""	""	""	""	"PLEK"	""	"CD53"
""	""	"MS4A6A"	""	""	""	""	""	"LY9"	"NCR3"	""	""	""	""	""	""	"POU2F2"	""	"CD6"
""	""	"MTF1"	""	""	""	""	""	"MBNL1"	"NKG7"	""	""	""	""	""	""	"PPM1F"	""	"CD69"
""	""	"NCF2"	""	""	""	""	""	"MGAT2"	"PIK3IP1"	""	""	""	""	""	""	"PTEN"	""	"CD7"
""	""	"NECAP2"	""	""	""	""	""	"NECAP2"	"PRF1"	""	""	""	""	""	""	"RGS19"	""	"CD79A"
""	""	"NR4A3"	""	""	""	""	""	"OSM"	"PRMT2"	""	""	""	""	""	""	"RHOG"	""	"CD79B"
""	""	"OAS3"	""	""	""	""	""	"PIK3IP1"	"PTGDR"	""	""	""	""	""	""	"RNASE2"	""	"CD80"
""	""	"OSM"	""	""	""	""	""	"PRMT2"	"PTPRCAP"	""	""	""	""	""	""	"S100A12"	""	"CD84"
""	""	"PLA2G7"	""	""	""	""	""	"PTGER2"	"PYHIN1"	""	""	""	""	""	""	"SAMSN1"	""	"CD86"
""	""	"RAPGEF1"	""	""	""	""	""	"PTPRCAP"	"RGS1"	""	""	""	""	""	""	"SLC11A1"	""	"CD8B"
""	""	"RHOG"	""	""	""	""	""	"RBMS1"	"RHOG"	""	""	""	""	""	""	"STAB1"	""	"CD96"
""	""	"RNASE6"	""	""	""	""	""	"RGS1"	"SASH3"	""	""	""	""	""	""	"TLR2"	""	"CFP"
""	""	"RSAD2"	""	""	""	""	""	"SAMSN1"	"SEC24A"	""	""	""	""	""	""	"TLR8"	""	"CHI3L1"
""	""	"RUNX2"	""	""	""	""	""	"SELPLG"	"SLAMF1"	""	""	""	""	""	""	"USP15"	""	"CHST12"
""	""	"SAMSN1"	""	""	""	""	""	"SLAMF1"	"TBX21"	""	""	""	""	""	""	"WAS"	""	"CLC"
""	""	"SEC24A"	""	""	""	""	""	"STAP1"	"TNFSF8"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"SIGLEC1"	""	""	""	""	""	"TBX21"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"SLAMF1"	""	""	""	""	""	"TNFRSF4"	"TSC22D3"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"SLAMF8"	""	""	""	""	""	"TNFSF8"	"WAS"	""	""	""	""	""	""	""	""	"CLEC5A"
""	""	"SPIB"	""	""	""	""	""	"TRAF1"	"XCL1"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"STAB1"	""	""	""	""	""	"TRAF3IP3"	"ZAP70"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"TFEC"	""	""	""	""	""	"TRAT1"	"ZBTB1"	""	""	""	""	""	""	""	""	"CR1"
""	""	"TM7SF4"	""	""	""	""	""	"ZAP70"	"ZC3HAV1"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	"TNFAIP6"	""	""	""	""	""	"ZC3HAV1"	""	""	""	""	""	""	""	""	""	"CSF1"
""	""	"TNFRSF4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF1R"
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCER1A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCGR3B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGFBP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GNG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HIPK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HPSE"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HS3ST3B1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HSPA6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
