"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"IL4R"	""	"CXCL9"	""	"IGSF6"	""	"KIR3DL1"	"SLC25A37"	"FCN1"	"FAIM3"	"IL18RAP"	""	"IDO1"	""	""	""	"GPR183"	""	"CCR1"
"IRF8"	""	"CYTH4"	""	"IL12B"	""	"KLRB1"	"VNN2"	"GIMAP4"	"FASLG"	"IL2RA"	""	"IGSF6"	""	""	""	"HCK"	""	"CCR2"
"KIAA0125"	""	"EBI3"	""	"ITGAX"	""	"KLRD1"	""	"GIMAP6"	"GIMAP4"	"IL2RB"	""	"IL12B"	""	""	""	"HK3"	""	"CCR3"
"LILRB1"	""	"FGL2"	""	"LILRA2"	""	"KLRF1"	""	"GPR132"	"GIMAP6"	"ITGAL"	""	"IRF8"	""	""	""	"IL10RA"	""	"CCR5"
"LY9"	""	"FPR3"	""	"LILRB1"	""	"KLRG1"	""	"GPR15"	"GPR15"	"ITGB7"	""	"LILRB1"	""	""	""	"LILRA1"	""	"CCR7"
"MEFV"	""	"GPR132"	""	"MMP19"	""	"KLRK1"	""	"GPR171"	"GPR171"	"ITK"	""	"MMP19"	""	""	""	"LILRA2"	""	"CD160"
"P2RX5"	""	"GZMB"	""	"MS4A6A"	""	"LAG3"	""	"GPR183"	"GPR65"	"KLRB1"	""	"NECAP2"	""	""	""	"LILRB1"	""	"CD19"
"PNOC"	""	"H6PD"	""	"NCF2"	""	"LTA"	""	"GPSM3"	"GZMA"	"KLRG1"	""	"PILRA"	""	""	""	"LILRB2"	""	"CD1A"
"POU2F2"	""	"HAVCR2"	""	"NCKAP1L"	""	"NCR3"	""	"GZMA"	"GZMB"	"LAG3"	""	"SIGLEC1"	""	""	""	"LILRB3"	""	"CD1B"
"PRDM2"	""	"HCK"	""	"NECAP2"	""	"NKG7"	""	"GZMB"	"GZMH"	"LCP2"	""	"SLAMF1"	""	""	""	"LST1"	""	"CD1C"
"RAPGEF1"	""	"HK3"	""	"PILRA"	""	"PRDM2"	""	"GZMK"	"GZMK"	"LTA"	""	"SLAMF8"	""	""	""	"MEFV"	""	"CD1E"
"RASGRP2"	""	"HLA-DQA1"	""	"PLA2G7"	""	"PRF1"	""	"GZMM"	"GZMM"	"NCR3"	""	"TFEC"	""	""	""	"MNDA"	""	"CD2"
"S1PR4"	""	"HS3ST3B1"	""	"SIGLEC1"	""	"PTGDR"	""	"ICOS"	"IFNG"	"NKG7"	""	"TNFAIP6"	""	""	""	"MS4A6A"	""	"CD209"
"SPIB"	""	"IDO1"	""	"SLAMF8"	""	"SAMD3"	""	"IFNG"	"IL10RA"	"PRF1"	""	"TNIP3"	""	""	""	"MYO1F"	""	"CD244"
