"Gene"	"Cancer"
"3966"	"CTSG"	"BLCA"
"3967"	"CTSK"	"BLCA"
"3968"	"CTSL"	"BLCA"
"3969"	"CTSO"	"BLCA"
"3970"	"CTSS"	"BLCA"
"3971"	"CTSV"	"BLCA"
"3972"	"CTSW"	"BLCA"
"3973"	"CTSZ"	"BLCA"
"3974"	"CUBN"	"BLCA"
"3975"	"CUEDC1"	"BLCA"
"3976"	"CX3CL1"	"BLCA"
"3977"	"CX3CR1"	"BLCA"
"3978"	"CXCL1"	"BLCA"
"3979"	"CXCL10"	"BLCA"
"3980"	"CXCL11"	"BLCA"
"3981"	"CXCL12"	"BLCA"
"3982"	"CXCL13"	"BLCA"
"3983"	"CXCL16"	"BLCA"
"3984"	"CXCL2"	"BLCA"
"3985"	"CXCL3"	"BLCA"
"3986"	"CXCL5"	"BLCA"
"3987"	"CXCL6"	"BLCA"
"3988"	"CXCL8"	"BLCA"
"3989"	"CXCL9"	"BLCA"
"3990"	"CXCR1"	"BLCA"
"3991"	"CXCR2P1"	"BLCA"
"3992"	"CXCR3"	"BLCA"
"3993"	"CXCR4"	"BLCA"
"3994"	"CXCR5"	"BLCA"
"3995"	"CXCR6"	"BLCA"
"3996"	"CXORF21"	"BLCA"
"3997"	"CXORF36"	"BLCA"
"3998"	"CXORF49B"	"BLCA"
"3999"	"CXORF65"	"BLCA"
"4000"	"CYB561A3"	"BLCA"
"4001"	"CYB5R3"	"BLCA"
"4002"	"CYBB"	"BLCA"
"4003"	"CYBRD1"	"BLCA"
"4004"	"CYGB"	"BLCA"
"4005"	"CYLD"	"BLCA"
"4006"	"CYP19A1"	"BLCA"
"4007"	"CYP1B1"	"BLCA"
"4008"	"CYP21A2"	"BLCA"
"4009"	"CYP26B1"	"BLCA"
"4010"	"CYP27A1"	"BLCA"
"4011"	"CYP46A1"	"BLCA"
"4012"	"CYP7B1"	"BLCA"
"4013"	"CYR61"	"BLCA"
"4014"	"CYS1"	"BLCA"
"4015"	"CYSLTR1"	"BLCA"
"4016"	"CYSLTR2"	"BLCA"
"4017"	"CYTH1"	"BLCA"
"4018"	"CYTH3"	"BLCA"
"4019"	"CYTH4"	"BLCA"
"4020"	"CYTIP"	"BLCA"
"4021"	"CYTL1"	"BLCA"
"4022"	"CYYR1"	"BLCA"
"4023"	"DAAM2"	"BLCA"
"4024"	"DAB2"	"BLCA"
"4025"	"DACT1"	"BLCA"
"4026"	"DACT3"	"BLCA"
"4027"	"DAPK3"	"BLCA"
"4028"	"DAW1"	"BLCA"
"4029"	"DAZL"	"BLCA"
"4030"	"DBN1"	"BLCA"
"4031"	"DBNDD2"	"BLCA"
"4032"	"DBNL"	"BLCA"
"4033"	"DCANP1"	"BLCA"
"4034"	"DCBLD1"	"BLCA"
"4035"	"DCBLD2"	"BLCA"
"4036"	"DCHS1"	"BLCA"
"4037"	"DCHS2"	"BLCA"
"4038"	"DCLK1"	"BLCA"
"4039"	"DCLK3"	"BLCA"
"4040"	"DCLRE1B"	"BLCA"
"4041"	"DCN"	"BLCA"
"4042"	"DCSTAMP"	"BLCA"
"4043"	"DCTN1"	"BLCA"
"4044"	"DCTN3"	"BLCA"
"4045"	"DCUN1D5"	"BLCA"
"4046"	"DDAH2"	"BLCA"
"4047"	"DDIT4L"	"BLCA"
"4048"	"DDR2"	"BLCA"
"4049"	"DDX19A"	"BLCA"
"4050"	"DDX24"	"BLCA"
"4051"	"DDX43"	"BLCA"
"4052"	"DDX58"	"BLCA"
"4053"	"DDX60"	"BLCA"
"4054"	"DDX60L"	"BLCA"
"4055"	"DEC1"	"BLCA"
"4056"	"DEFA1B"	"BLCA"
"4057"	"DEFA4"	"BLCA"
"4058"	"DEGS1"	"BLCA"
"4059"	"DENND1A"	"BLCA"
"4060"	"DENND1C"	"BLCA"
"4061"	"DENND3"	"BLCA"
"4062"	"DENND5A"	"BLCA"
"4063"	"DENND5B"	"BLCA"
"4064"	"DEPDC7"	"BLCA"
"4065"	"DERL3"	"BLCA"
"4066"	"DES"	"BLCA"
"4067"	"DFNB31"	"BLCA"
"4068"	"DGKB"	"BLCA"
"4069"	"DGKI"	"BLCA"
"4070"	"DHH"	"BLCA"
"4071"	"DHRS9"	"BLCA"
"4072"	"DIAPH3"	"BLCA"
"4073"	"DIO2"	"BLCA"
"4074"	"DIO3"	"BLCA"
"4075"	"DIO3OS"	"BLCA"
"4076"	"DIRAS1"	"BLCA"
"4077"	"DIRAS3"	"BLCA"
"4078"	"DIRC1"	"BLCA"
"4079"	"DIRC3"	"BLCA"
"4080"	"DIXDC1"	"BLCA"
"4081"	"DKFZP434J0226"	"BLCA"
"4082"	"DKFZP779M0652"	"BLCA"
"4083"	"DKK2"	"BLCA"
"4084"	"DKK3"	"BLCA"
"4085"	"DLC1"	"BLCA"
"4086"	"DMD"	"BLCA"
"4087"	"DMGDH"	"BLCA"
"4088"	"DMRT3"	"BLCA"
"4089"	"DMWD"	"BLCA"
"4090"	"DNAAF1"	"BLCA"
"4091"	"DNAH8"	"BLCA"
"4092"	"DNAJA1"	"BLCA"
"4093"	"DNAJB11"	"BLCA"
"4094"	"DNAJB4"	"BLCA"
"4095"	"DNAJB5"	"BLCA"
"4096"	"DNAJB6"	"BLCA"
"4097"	"DNAJB9"	"BLCA"
"4098"	"DNAJC1"	"BLCA"
"4099"	"DNAJC10"	"BLCA"
"4100"	"DNAJC12"	"BLCA"
"4101"	"DNAJC5B"	"BLCA"
"4102"	"DNASE1L3"	"BLCA"
"4103"	"DNM1"	"BLCA"
"4104"	"DNM1P46"	"BLCA"
"4105"	"DNTTIP1"	"BLCA"
"4106"	"DOC2B"	"BLCA"
"4107"	"DOCK10"	"BLCA"
"4108"	"DOCK11"	"BLCA"
"4109"	"DOCK2"	"BLCA"
"4110"	"DOCK4"	"BLCA"
"4111"	"DOK2"	"BLCA"
"4112"	"DOK3"	"BLCA"
"4113"	"DOK5"	"BLCA"
"4114"	"DOK6"	"BLCA"
"4115"	"DOLK"	"BLCA"
"4116"	"DPEP1"	"BLCA"
"4117"	"DPEP2"	"BLCA"
"4118"	"DPEP3"	"BLCA"
"4119"	"DPF3"	"BLCA"
"4120"	"DPH3"	"BLCA"
"4121"	"DPP4"	"BLCA"
"4122"	"DPP6"	"BLCA"
"4123"	"DPPA4"	"BLCA"
"4124"	"DPT"	"BLCA"
"4125"	"DPYD"	"BLCA"
"4126"	"DPYS"	"BLCA"
"4127"	"DPYSL2"	"BLCA"
"4128"	"DPYSL3"	"BLCA"
"4129"	"DRAM1"	"BLCA"
"4130"	"DRP2"	"BLCA"
"4131"	"DSC2"	"BLCA"
"4132"	"DSCAM"	"BLCA"
"4133"	"DSCR3"	"BLCA"
"4134"	"DSE"	"BLCA"
"4135"	"DSEL"	"BLCA"
"4136"	"DSG3"	"BLCA"
"4137"	"DSP"	"BLCA"
"4138"	"DSTN"	"BLCA"
"4139"	"DTHD1"	"BLCA"
"4140"	"DTNA"	"BLCA"
"4141"	"DTX1"	"BLCA"
"4142"	"DTX3L"	"BLCA"
"4143"	"DUBR"	"BLCA"
"4144"	"DUSP1"	"BLCA"
"4145"	"DUSP14"	"BLCA"
"4146"	"DUSP22"	"BLCA"
"4147"	"DUSP26"	"BLCA"
"4148"	"DUSP3"	"BLCA"
"4149"	"DUSP5"	"BLCA"
"4150"	"DUSP8"	"BLCA"
"4151"	"DYNC1LI1"	"BLCA"
"4152"	"DYRK3"	"BLCA"
"4153"	"DYSF"	"BLCA"
"4154"	"DZIP1"	"BLCA"
"4155"	"EAF2"	"BLCA"
"4156"	"EBF1"	"BLCA"
"4157"	"EBF2"	"BLCA"
"4158"	"EBF3"	"BLCA"
"4159"	"EBI3"	"BLCA"
"4160"	"EBNA1BP2"	"BLCA"
"4161"	"ECE1"	"BLCA"
"4162"	"ECE2"	"BLCA"
"4163"	"ECEL1"	"BLCA"
"4164"	"ECHDC3"	"BLCA"
"4165"	"ECM1"	"BLCA"
"4166"	"ECM2"	"BLCA"
"4167"	"ECSCR"	"BLCA"
"4168"	"EDIL3"	"BLCA"
"4169"	"EDN1"	"BLCA"
"4170"	"EDNRA"	"BLCA"
"4171"	"EFEMP1"	"BLCA"
"4172"	"EFEMP2"	"BLCA"
"4173"	"EFHD1"	"BLCA"
"4174"	"EGFL6"	"BLCA"
"4175"	"EGFL7"	"BLCA"
"4176"	"EGFLAM"	"BLCA"
"4177"	"EGFR"	"BLCA"
"4178"	"EGLN2"	"BLCA"
"4179"	"EGOT"	"BLCA"
"4180"	"EGR1"	"BLCA"
"4181"	"EGR2"	"BLCA"
"4182"	"EGR3"	"BLCA"
"4183"	"EHBP1"	"BLCA"
"4184"	"EHBP1L1"	"BLCA"
"4185"	"EHD1"	"BLCA"
"4186"	"EHD2"	"BLCA"
"4187"	"EID2B"	"BLCA"
"4188"	"EID3"	"BLCA"
"4189"	"EIF2AK2"	"BLCA"
"4190"	"EIF2B3"	"BLCA"
"4191"	"EIF2S1"	"BLCA"
"4192"	"EIF2S2"	"BLCA"
"4193"	"EIF3B"	"BLCA"
"4194"	"EIF4G1"	"BLCA"
"4195"	"EIF5A2"	"BLCA"
"4196"	"ELANE"	"BLCA"
"4197"	"ELAVL4"	"BLCA"
"4198"	"ELFN2"	"BLCA"
"4199"	"ELK3"	"BLCA"
"4200"	"ELL"	"BLCA"
"4201"	"ELL2"	"BLCA"
"4202"	"ELMO1"	"BLCA"
"4203"	"ELMOD1"	"BLCA"
"4204"	"ELN"	"BLCA"
"4205"	"ELOVL2"	"BLCA"
"4206"	"ELOVL3"	"BLCA"
"4207"	"ELOVL4"	"BLCA"
"4208"	"ELOVL5"	"BLCA"
"4209"	"EMCN"	"BLCA"
"4210"	"EMILIN1"	"BLCA"
"4211"	"EMILIN2"	"BLCA"
"4212"	"EML1"	"BLCA"
"4213"	"EMP1"	"BLCA"
"4214"	"EMP3"	"BLCA"
"4215"	"ENAH"	"BLCA"
"4216"	"ENC1"	"BLCA"
"4217"	"ENDOD1"	"BLCA"
"4218"	"ENG"	"BLCA"
"4219"	"ENKUR"	"BLCA"
"4220"	"ENOX1"	"BLCA"
"4221"	"ENPEP"	"BLCA"
"4222"	"ENPP1"	"BLCA"
"4223"	"ENPP2"	"BLCA"
"4224"	"ENPP3"	"BLCA"
"4225"	"ENPP6"	"BLCA"
"4226"	"ENTHD1"	"BLCA"
"4227"	"ENTPD1"	"BLCA"
"4228"	"EOMES"	"BLCA"
"4229"	"EPB41L2"	"BLCA"
"4230"	"EPB41L3"	"BLCA"
"4231"	"EPDR1"	"BLCA"
"4232"	"EPGN"	"BLCA"
"4233"	"EPHA3"	"BLCA"
"4234"	"EPHA5"	"BLCA"
"4235"	"EPHA6"	"BLCA"
"4236"	"EPHB1"	"BLCA"
"4237"	"EPHB2"	"BLCA"
"4238"	"EPRS"	"BLCA"
"4239"	"EPSTI1"	"BLCA"
"4240"	"EPYC"	"BLCA"
"4241"	"ERC1"	"BLCA"
"4242"	"EREG"	"BLCA"
"4243"	"ERG"	"BLCA"
"4244"	"ERGIC2"	"BLCA"
"4245"	"ERLEC1"	"BLCA"
"4246"	"ERMN"	"BLCA"
"4247"	"ERP44"	"BLCA"
"4248"	"ESR1"	"BLCA"
"4249"	"ESYT2"	"BLCA"
"4250"	"ETF1"	"BLCA"
"4251"	"ETS1"	"BLCA"
"4252"	"ETV1"	"BLCA"
"4253"	"EVA1A"	"BLCA"
"4254"	"EVA1B"	"BLCA"
"4255"	"EVA1C"	"BLCA"
"4256"	"EVC"	"BLCA"
"4257"	"EVI2A"	"BLCA"
"4258"	"EVI2B"	"BLCA"
"4259"	"EVL"	"BLCA"
"4260"	"EXOC3L4"	"BLCA"
"4261"	"EXT1"	"BLCA"
"4262"	"EXT2"	"BLCA"
"4263"	"EYA1"	"BLCA"
"4264"	"EYA4"	"BLCA"
"4265"	"F10"	"BLCA"
"4266"	"F13A1"	"BLCA"
"4267"	"F2R"	"BLCA"
"4268"	"F2RL2"	"BLCA"
"4269"	"F2RL3"	"BLCA"
"4270"	"F3"	"BLCA"
"4271"	"F7"	"BLCA"
"4272"	"F8"	"BLCA"
"4273"	"FADS3"	"BLCA"
"4274"	"FAIM2"	"BLCA"
"4275"	"FAM101A"	"BLCA"
"4276"	"FAM101B"	"BLCA"
"4277"	"FAM102A"	"BLCA"
"4278"	"FAM107A"	"BLCA"
"4279"	"FAM110B"	"BLCA"
"4280"	"FAM110D"	"BLCA"
"4281"	"FAM114A1"	"BLCA"
"4282"	"FAM118B"	"BLCA"
"4283"	"FAM124A"	"BLCA"
"4284"	"FAM124B"	"BLCA"
"4285"	"FAM126A"	"BLCA"
"4286"	"FAM129A"	"BLCA"
"4287"	"FAM129B"	"BLCA"
"4288"	"FAM129C"	"BLCA"
"4289"	"FAM133A"	"BLCA"
"4290"	"FAM155A"	"BLCA"
"4291"	"FAM159A"	"BLCA"
"4292"	"FAM167A"	"BLCA"
"4293"	"FAM167B"	"BLCA"
"4294"	"FAM179A"	"BLCA"
"4295"	"FAM180A"	"BLCA"
"4296"	"FAM180B"	"BLCA"
"4297"	"FAM196A"	"BLCA"
"4298"	"FAM196B"	"BLCA"
"4299"	"FAM198B"	"BLCA"
"4300"	"FAM19A1"	"BLCA"
"4301"	"FAM19A3"	"BLCA"
"4302"	"FAM19A5"	"BLCA"
"4303"	"FAM20A"	"BLCA"
"4304"	"FAM20C"	"BLCA"
"4305"	"FAM216B"	"BLCA"
"4306"	"FAM219A"	"BLCA"
"4307"	"FAM225A"	"BLCA"
"4308"	"FAM225B"	"BLCA"
"4309"	"FAM228A"	"BLCA"
"4310"	"FAM26E"	"BLCA"
"4311"	"FAM26F"	"BLCA"
"4312"	"FAM43A"	"BLCA"
"4313"	"FAM43B"	"BLCA"
"4314"	"FAM46B"	"BLCA"
"4315"	"FAM46C"	"BLCA"
"4316"	"FAM49A"	"BLCA"
"4317"	"FAM49B"	"BLCA"
"4318"	"FAM65A"	"BLCA"
"4319"	"FAM65B"	"BLCA"
"4320"	"FAM65C"	"BLCA"
"4321"	"FAM69A"	"BLCA"
"4322"	"FAM69C"	"BLCA"
"4323"	"FAM78A"	"BLCA"
"4324"	"FAM83D"	"BLCA"
"4325"	"FAM92B"	"BLCA"
"4326"	"FAM98A"	"BLCA"
"4327"	"FAP"	"BLCA"
"4328"	"FARS2"	"BLCA"
"4329"	"FAS"	"BLCA"
"4330"	"FASLG"	"BLCA"
"4331"	"FAT4"	"BLCA"
"4332"	"FATE1"	"BLCA"
"4333"	"FBLN2"	"BLCA"
"4334"	"FBLN5"	"BLCA"
"4335"	"FBLN7"	"BLCA"
"4336"	"FBN1"	"BLCA"
"4337"	"FBN2"	"BLCA"
"4338"	"FBXL22"	"BLCA"
"4339"	"FBXL7"	"BLCA"
"4340"	"FBXO10"	"BLCA"
"4341"	"FBXO17"	"BLCA"
"4342"	"FBXO31"	"BLCA"
"4343"	"FBXO32"	"BLCA"
"4344"	"FBXO6"	"BLCA"
"4345"	"FBXW2"	"BLCA"
"4346"	"FBXW5"	"BLCA"
"4347"	"FCAMR"	"BLCA"
"4348"	"FCAR"	"BLCA"
"4349"	"FCER1G"	"BLCA"
"4350"	"FCER2"	"BLCA"
"4351"	"FCGR1A"	"BLCA"
"4352"	"FCGR1B"	"BLCA"
"4353"	"FCGR1C"	"BLCA"
"4354"	"FCGR2A"	"BLCA"
"4355"	"FCGR2B"	"BLCA"
"4356"	"FCGR2C"	"BLCA"
"4357"	"FCGR3A"	"BLCA"
"4358"	"FCGR3B"	"BLCA"
"4359"	"FCHSD2"	"BLCA"
"4360"	"FCMR"	"BLCA"
"4361"	"FCN1"	"BLCA"
"4362"	"FCN3"	"BLCA"
"4363"	"FCRL1"	"BLCA"
"4364"	"FCRL2"	"BLCA"
"4365"	"FCRL3"	"BLCA"
"4366"	"FCRL4"	"BLCA"
"4367"	"FCRL5"	"BLCA"
"4368"	"FCRL6"	"BLCA"
"4369"	"FCRLA"	"BLCA"
"4370"	"FDCSP"	"BLCA"
"4371"	"FER"	"BLCA"
"4372"	"FERMT2"	"BLCA"
"4373"	"FERMT3"	"BLCA"
"4374"	"FEZ1"	"BLCA"
"4375"	"FEZ2"	"BLCA"
"4376"	"FFAR2"	"BLCA"
"4377"	"FFAR3"	"BLCA"
"4378"	"FGD2"	"BLCA"
"4379"	"FGD4"	"BLCA"
"4380"	"FGD6"	"BLCA"
"4381"	"FGF1"	"BLCA"
"4382"	"FGF10"	"BLCA"
"4383"	"FGF14"	"BLCA"
"4384"	"FGF16"	"BLCA"
"4385"	"FGF2"	"BLCA"
"4386"	"FGF5"	"BLCA"
"4387"	"FGF7"	"BLCA"
"4388"	"FGFBP2"	"BLCA"
"4389"	"FGFR1"	"BLCA"
"4390"	"FGFR1OP2"	"BLCA"
"4391"	"FGL2"	"BLCA"
"4392"	"FGR"	"BLCA"
"4393"	"FHL1"	"BLCA"
"4394"	"FHL3"	"BLCA"
"4395"	"FHL5"	"BLCA"
"4396"	"FHOD1"	"BLCA"
"4397"	"FIBIN"	"BLCA"
"4398"	"FILIP1"	"BLCA"
"4399"	"FILIP1L"	"BLCA"
"4400"	"FJX1"	"BLCA"
"4401"	"FKBP10"	"BLCA"
"4402"	"FKBP11"	"BLCA"
"4403"	"FKBP14"	"BLCA"
"4404"	"FKBP15"	"BLCA"
"4405"	"FKBP1A"	"BLCA"
"4406"	"FKBP5"	"BLCA"
"4407"	"FKBP7"	"BLCA"
"4408"	"FKBP9"	"BLCA"
"4409"	"FKBP9P1"	"BLCA"
"4410"	"FLI1"	"BLCA"
"4411"	"FLJ16779"	"BLCA"
"4412"	"FLNA"	"BLCA"
"4413"	"FLNC"	"BLCA"
"4414"	"FLRT2"	"BLCA"
"4415"	"FLT3"	"BLCA"
"4416"	"FLT3LG"	"BLCA"
"4417"	"FLVCR2"	"BLCA"
"4418"	"FMN1"	"BLCA"
"4419"	"FMNL1"	"BLCA"
"4420"	"FMNL2"	"BLCA"
"4421"	"FMNL3"	"BLCA"
"4422"	"FMO1"	"BLCA"
"4423"	"FMO2"	"BLCA"
"4424"	"FMO3"	"BLCA"
"4425"	"FMOD"	"BLCA"
"4426"	"FN1"	"BLCA"
"4427"	"FNBP1"	"BLCA"
"4428"	"FNDC1"	"BLCA"
"4429"	"FNDC3B"	"BLCA"
"4430"	"FNDC4"	"BLCA"
"4431"	"FOLR2"	"BLCA"
"4432"	"FOLR3"	"BLCA"
"4433"	"FOSL1"	"BLCA"
"4434"	"FOXC2"	"BLCA"
"4435"	"FOXD1"	"BLCA"
"4436"	"FOXD3"	"BLCA"
"4437"	"FOXF1"	"BLCA"
"4438"	"FOXO1"	"BLCA"
"4439"	"FOXP2"	"BLCA"
"4440"	"FOXP3"	"BLCA"
"4441"	"FOXS1"	"BLCA"
"4442"	"FPR1"	"BLCA"
"4443"	"FPR2"	"BLCA"
"4444"	"FPR3"	"BLCA"
"4445"	"FRMD4B"	"BLCA"
"4446"	"FSD1L"	"BLCA"
"4447"	"FST"	"BLCA"
"4448"	"FSTL1"	"BLCA"
"4449"	"FSTL3"	"BLCA"
"4450"	"FTH1"	"BLCA"
"4451"	"FTH1P3"	"BLCA"
"4452"	"FTL"	"BLCA"
"4453"	"FTSJ1"	"BLCA"
"4454"	"FUNDC2"	"BLCA"
"4455"	"FUOM"	"BLCA"
"4456"	"FUT4"	"BLCA"
"4457"	"FUT7"	"BLCA"
"4458"	"FXYD1"	"BLCA"
"4459"	"FXYD2"	"BLCA"
"4460"	"FXYD5"	"BLCA"
"4461"	"FXYD6"	"BLCA"
"4462"	"FXYD7"	"BLCA"
"4463"	"FYB"	"BLCA"
"4464"	"FYN"	"BLCA"
"4465"	"FZD1"	"BLCA"
"4466"	"FZD2"	"BLCA"
"4467"	"FZD8"	"BLCA"
"4468"	"G0S2"	"BLCA"
"4469"	"GAB3"	"BLCA"
"4470"	"GABARAPL1"	"BLCA"
"4471"	"GABRP"	"BLCA"
"4472"	"GADD45B"	"BLCA"
"4473"	"GADD45G"	"BLCA"
"4474"	"GAL3ST4"	"BLCA"
"4475"	"GALK1"	"BLCA"
"4476"	"GALNT10"	"BLCA"
"4477"	"GALNT15"	"BLCA"
"4478"	"GALNT18"	"BLCA"
"4479"	"GALNT2"	"BLCA"
"4480"	"GALNT5"	"BLCA"
"4481"	"GALNT6"	"BLCA"
"4482"	"GAP43"	"BLCA"
"4483"	"GAPT"	"BLCA"
"4484"	"GARS"	"BLCA"
"4485"	"GAS1"	"BLCA"
"4486"	"GAS2L1"	"BLCA"
"4487"	"GAS6"	"BLCA"
"4488"	"GAS7"	"BLCA"
"4489"	"GATA1"	"BLCA"
"4490"	"GATA5"	"BLCA"
"4491"	"GATA6"	"BLCA"
"4492"	"GBGT1"	"BLCA"
"4493"	"GBP1"	"BLCA"
"4494"	"GBP1P1"	"BLCA"
"4495"	"GBP4"	"BLCA"
"4496"	"GBP5"	"BLCA"
"4497"	"GBP6"	"BLCA"
"4498"	"GBX2"	"BLCA"
"4499"	"GCLM"	"BLCA"
"4500"	"GCNT1"	"BLCA"
"4501"	"GCSAML"	"BLCA"
"4502"	"GCSAML-AS1"	"BLCA"
"4503"	"GDF10"	"BLCA"
"4504"	"GDF5"	"BLCA"
"4505"	"GDI2"	"BLCA"
"4506"	"GDPD5"	"BLCA"
"4507"	"GEM"	"BLCA"
"4508"	"GFI1"	"BLCA"
"4509"	"GFOD1"	"BLCA"
"4510"	"GFPT2"	"BLCA"
"4511"	"GFRA2"	"BLCA"
"4512"	"GGT5"	"BLCA"
"4513"	"GGTA1P"	"BLCA"
"4514"	"GGTLC2"	"BLCA"
"4515"	"GHR"	"BLCA"
"4516"	"GHRL"	"BLCA"
"4517"	"GIMAP1"	"BLCA"
"4518"	"GIMAP2"	"BLCA"
"4519"	"GIMAP4"	"BLCA"
"4520"	"GIMAP5"	"BLCA"
"4521"	"GIMAP6"	"BLCA"
"4522"	"GIMAP7"	"BLCA"
"4523"	"GIMAP8"	"BLCA"
"4524"	"GINM1"	"BLCA"
"4525"	"GIP"	"BLCA"
"4526"	"GIT2"	"BLCA"
"4527"	"GJA3"	"BLCA"
"4528"	"GJA4"	"BLCA"
"4529"	"GJA5"	"BLCA"
"4530"	"GJB2"	"BLCA"
"4531"	"GJC1"	"BLCA"
"4532"	"GJC2"	"BLCA"
"4533"	"GLB1L"	"BLCA"
"4534"	"GLI1"	"BLCA"
"4535"	"GLI2"	"BLCA"
"4536"	"GLIPR1"	"BLCA"
"4537"	"GLIPR2"	"BLCA"
"4538"	"GLIS1"	"BLCA"
"4539"	"GLIS2"	"BLCA"
"4540"	"GLIS3"	"BLCA"
"4541"	"GLMP"	"BLCA"
"4542"	"GLP2R"	"BLCA"
"4543"	"GLRX"	"BLCA"
"4544"	"GLS"	"BLCA"
"4545"	"GLT1D1"	"BLCA"
"4546"	"GLT8D2"	"BLCA"
"4547"	"GMFG"	"BLCA"
"4548"	"GMPPA"	"BLCA"
"4549"	"GMPR"	"BLCA"
"4550"	"GMPS"	"BLCA"
"4551"	"GNA12"	"BLCA"
"4552"	"GNA14"	"BLCA"
"4553"	"GNAI2"	"BLCA"
"4554"	"GNAI3"	"BLCA"
"4555"	"GNAL"	"BLCA"
"4556"	"GNAO1"	"BLCA"
"4557"	"GNAQ"	"BLCA"
"4558"	"GNB4"	"BLCA"
"4559"	"GNG10"	"BLCA"
"4560"	"GNG11"	"BLCA"
"4561"	"GNG12"	"BLCA"
"4562"	"GNG2"	"BLCA"
"4563"	"GNG4"	"BLCA"
"4564"	"GNG7"	"BLCA"
"4565"	"GNG8"	"BLCA"
"4566"	"GNGT2"	"BLCA"
"4567"	"GNLY"	"BLCA"
"4568"	"GOLM1"	"BLCA"
"4569"	"GOLT1B"	"BLCA"
"4570"	"GOSR2"	"BLCA"
"4571"	"GP1BA"	"BLCA"
"4572"	"GP5"	"BLCA"
"4573"	"GPA33"	"BLCA"
"4574"	"GPAT3"	"BLCA"
"4575"	"GPATCH4"	"BLCA"
"4576"	"GPBAR1"	"BLCA"
"4577"	"GPC6"	"BLCA"
"4578"	"GPER1"	"BLCA"
"4579"	"GPM6A"	"BLCA"
"4580"	"GPM6B"	"BLCA"
"4581"	"GPN1"	"BLCA"
"4582"	"GPNMB"	"BLCA"
"4583"	"GPR1"	"BLCA"
"4584"	"GPR132"	"BLCA"
"4585"	"GPR141"	"BLCA"
"4586"	"GPR146"	"BLCA"
"4587"	"GPR155"	"BLCA"
"4588"	"GPR156"	"BLCA"
"4589"	"GPR161"	"BLCA"
"4590"	"GPR162"	"BLCA"
"4591"	"GPR17"	"BLCA"
"4592"	"GPR171"	"BLCA"
"4593"	"GPR174"	"BLCA"
"4594"	"GPR176"	"BLCA"
"4595"	"GPR18"	"BLCA"
"4596"	"GPR180"	"BLCA"
"4597"	"GPR183"	"BLCA"
"4598"	"GPR21"	"BLCA"
"4599"	"GPR25"	"BLCA"
"4600"	"GPR26"	"BLCA"
"4601"	"GPR31"	"BLCA"
"4602"	"GPR34"	"BLCA"
"4603"	"GPR37"	"BLCA"
"4604"	"GPR4"	"BLCA"
"4605"	"GPR55"	"BLCA"
"4606"	"GPR65"	"BLCA"
"4607"	"GPR68"	"BLCA"
"4608"	"GPR82"	"BLCA"
"4609"	"GPR84"	"BLCA"
"4610"	"GPR88"	"BLCA"
"4611"	"GPRC5B"	"BLCA"
"4612"	"GPRIN1"	"BLCA"
"4613"	"GPRIN3"	"BLCA"
"4614"	"GPSM3"	"BLCA"
"4615"	"GPX3"	"BLCA"
"4616"	"GPX8"	"BLCA"
"4617"	"GRAMD1A"	"BLCA"
"4618"	"GRAMD1B"	"BLCA"
"4619"	"GRAP"	"BLCA"
"4620"	"GRAP2"	"BLCA"
"4621"	"GRAPL"	"BLCA"
"4622"	"GRASP"	"BLCA"
"4623"	"GRB2"	"BLCA"
"4624"	"GREM1"	"BLCA"
"4625"	"GRHPR"	"BLCA"
"4626"	"GRIA3"	"BLCA"
"4627"	"GRID1"	"BLCA"
"4628"	"GRIK5"	"BLCA"
"4629"	"GRIN2A"	"BLCA"
"4630"	"GRIN3A"	"BLCA"
"4631"	"GRIP2"	"BLCA"
"4632"	"GRK5"	"BLCA"
"4633"	"GRN"	"BLCA"
"4634"	"GRPR"	"BLCA"
"4635"	"GSC"	"BLCA"
"4636"	"GSDMC"	"BLCA"
"4637"	"GSDMD"	"BLCA"
"4638"	"GSN"	"BLCA"
"4639"	"GSTM5"	"BLCA"
"4640"	"GTF2A1L"	"BLCA"
"4641"	"GTF2F2"	"BLCA"
"4642"	"GTF2H1"	"BLCA"
"4643"	"GTSF1"	"BLCA"
"4644"	"GTSF1L"	"BLCA"
"4645"	"GUCA1A"	"BLCA"
"4646"	"GUCY1A3"	"BLCA"
"4647"	"GUCY1B3"	"BLCA"
"4648"	"GUK1"	"BLCA"
"4649"	"GULP1"	"BLCA"
"4650"	"GVINP1"	"BLCA"
"4651"	"GXYLT2"	"BLCA"
"4652"	"GYG1"	"BLCA"
"4653"	"GYPC"	"BLCA"
"4654"	"GYPE"	"BLCA"
"4655"	"GZMA"	"BLCA"
"4656"	"GZMB"	"BLCA"
"4657"	"GZMH"	"BLCA"
"4658"	"GZMK"	"BLCA"
"4659"	"GZMM"	"BLCA"
"4660"	"HAAO"	"BLCA"
"4661"	"HABP4"	"BLCA"
"4662"	"HACD1"	"BLCA"
"4663"	"HACD4"	"BLCA"
"4664"	"HAMP"	"BLCA"
"4665"	"HAND1"	"BLCA"
"4666"	"HAND2"	"BLCA"
"4667"	"HAND2-AS1"	"BLCA"
"4668"	"HAPLN3"	"BLCA"
"4669"	"HAPLN4"	"BLCA"
"4670"	"HAR1A"	"BLCA"
"4671"	"HAR1B"	"BLCA"
"4672"	"HAS1"	"BLCA"
