"Gene_Symbol"	"Cancer"
"F13A1"	"BLCA"
"FAP"	"BLCA"
"FASLG"	"BLCA"
"FBLN2"	"BLCA"
"FCGR2A"	"BLCA"
"FCGR2B"	"BLCA"
"FMO1"	"BLCA"
"FOXF1"	"BLCA"
"FPR1"	"BLCA"
"GIMAP5"	"BLCA"
"GREM1"	"BLCA"
"HDC"	"BLCA"
"HEPH"	"BLCA"
"HGF"	"BLCA"
"IGF1"	"BLCA"
"IGSF6"	"BLCA"
"IL18R1"	"BLCA"
"IL1B"	"BLCA"
"ISLR"	"BLCA"
"ITGAM"	"BLCA"
"ITGBL1"	"BLCA"
"ITIH3"	"BLCA"
"ITM2A"	"BLCA"
"KCNJ8"	"BLCA"
"LDB2"	"BLCA"
"LMOD1"	"BLCA"
"LRRC15"	"BLCA"
"LRRC32"	"BLCA"
"LUM"	"BLCA"
"LY86"	"BLCA"
"MAF"	"BLCA"
"MFAP5"	"BLCA"
"MMP3"	"BLCA"
"MS4A4A"	"BLCA"
"MS4A6A"	"BLCA"
"MSR1"	"BLCA"
"MXRA5"	"BLCA"
"NOX4"	"BLCA"
"OLFML1"	"BLCA"
"OLFML2B"	"BLCA"
"PAPPA"	"BLCA"
"PCDH12"	"BLCA"
"PDE2A"	"BLCA"
"PDGFRB"	"BLCA"
"PIK3R5"	"BLCA"
"PLXDC1"	"BLCA"
"PLXNC1"	"BLCA"
"PRKG1"	"BLCA"
"PTGER3"	"BLCA"
"PTGIS"	"BLCA"
"RAMP3"	"BLCA"
"RARRES2"	"BLCA"
"RASGRP3"	"BLCA"
"RGS4"	"BLCA"
"RSAD2"	"BLCA"
"RUNX1T1"	"BLCA"
"SAMSN1"	"BLCA"
"SERPING1"	"BLCA"
"SFRP4"	"BLCA"
"SGCD"	"BLCA"
"SH2D1A"	"BLCA"
"SIGLEC1"	"BLCA"
"SP140"	"BLCA"
"SPON1"	"BLCA"
"SPON2"	"BLCA"
"SULF1"	"BLCA"
"TCF21"	"BLCA"
"TFEC"	"BLCA"
"THBS2"	"BLCA"
"TLR2"	"BLCA"
"TLR7"	"BLCA"
"TNFSF4"	"BLCA"
"TNN"	"BLCA"
"TRAT1"	"BLCA"
"VCAM1"	"BLCA"
"VSIG4"	"BLCA"
"WISP1"	"BLCA"
"WNT2"	"BLCA"
"ZEB2"	"BLCA"
"ZFPM2"	"BLCA"
"ABCA6"	"BRCA"
"ACTG2"	"BRCA"
"ADAM12"	"BRCA"
"ADAMTS5"	"BRCA"
"AIF1"	"BRCA"
"AOC3"	"BRCA"
"APBB1IP"	"BRCA"
"ARHGAP28"	"BRCA"
"ASPN"	"BRCA"
"ATP8B4"	"BRCA"
"BGN"	"BRCA"
"BTK"	"BRCA"
"C1QA"	"BRCA"
"C1QB"	"BRCA"
"C3AR1"	"BRCA"
"CCR1"	"BRCA"
"CD14"	"BRCA"
"CD163"	"BRCA"
"CD200"	"BRCA"
"CD248"	"BRCA"
"CD33"	"BRCA"
"CD86"	"BRCA"
"CD93"	"BRCA"
"CDH5"	"BRCA"
"CH25H"	"BRCA"
"CILP"	"BRCA"
"CLEC7A"	"BRCA"
"COL14A1"	"BRCA"
"COL15A1"	"BRCA"
"COL1A2"	"BRCA"
"COL3A1"	"BRCA"
"COL6A3"	"BRCA"
"COL8A2"	"BRCA"
"COX7A1"	"BRCA"
"CSF1R"	"BRCA"
"CXCL12"	"BRCA"
"CXCL14"	"BRCA"
"CXCL9"	"BRCA"
"DCN"	"BRCA"
"DDR2"	"BRCA"
"DIO2"	"BRCA"
"ECM2"	"BRCA"
"EGFL6"	"BRCA"
"EMCN"	"BRCA"
"ENPP2"	"BRCA"
"ERG"	"BRCA"
"F13A1"	"BRCA"
"FAP"	"BRCA"
"FASLG"	"BRCA"
"FBLN2"	"BRCA"
"FCGR2A"	"BRCA"
"FCGR2B"	"BRCA"
"FMO1"	"BRCA"
"FOXF1"	"BRCA"
"FPR1"	"BRCA"
"FRZB"	"BRCA"
"GIMAP5"	"BRCA"
"GREM1"	"BRCA"
"HDC"	"BRCA"
"HEPH"	"BRCA"
"HGF"	"BRCA"
"IGF1"	"BRCA"
"IGSF6"	"BRCA"
"IL18R1"	"BRCA"
"IL1B"	"BRCA"
"ISLR"	"BRCA"
"ITGAM"	"BRCA"
"ITGBL1"	"BRCA"
"ITIH3"	"BRCA"
"ITIH5"	"BRCA"
"ITM2A"	"BRCA"
"KCNJ8"	"BRCA"
"KDR"	"BRCA"
"LDB2"	"BRCA"
"LMOD1"	"BRCA"
"LRRC15"	"BRCA"
"LRRC32"	"BRCA"
"LUM"	"BRCA"
"LY86"	"BRCA"
"MAF"	"BRCA"
"MFAP5"	"BRCA"
"MMP3"	"BRCA"
"MS4A4A"	"BRCA"
