"Gene_Symbol"	"Cancer"
"ZNF423"	"ESCA"
"ABCA6"	"GBM"
"ACTG2"	"GBM"
"ADAM12"	"GBM"
"AIF1"	"GBM"
"AOC3"	"GBM"
"APBB1IP"	"GBM"
"ASPN"	"GBM"
"ATP8B4"	"GBM"
"BGN"	"GBM"
"BTK"	"GBM"
"C1QA"	"GBM"
"C1QB"	"GBM"
"C3AR1"	"GBM"
"CCR1"	"GBM"
"CD14"	"GBM"
"CD163"	"GBM"
"CD33"	"GBM"
"CD86"	"GBM"
"CD93"	"GBM"
"CH25H"	"GBM"
"CLEC7A"	"GBM"
"COL10A1"	"GBM"
"COL14A1"	"GBM"
"COL15A1"	"GBM"
"COL1A2"	"GBM"
"COL3A1"	"GBM"
"COL6A3"	"GBM"
"COL8A2"	"GBM"
"CSF1R"	"GBM"
"CXCL12"	"GBM"
"CXCL14"	"GBM"
"DCN"	"GBM"
"DIO2"	"GBM"
"ECM2"	"GBM"
"EDIL3"	"GBM"
"EDNRA"	"GBM"
"EGFL6"	"GBM"
"ENPP2"	"GBM"
"F13A1"	"GBM"
"FAP"	"GBM"
"FASLG"	"GBM"
"FBLN2"	"GBM"
"FCGR2A"	"GBM"
"FCGR2B"	"GBM"
"FPR1"	"GBM"
"GIMAP5"	"GBM"
"GREM1"	"GBM"
"HEPH"	"GBM"
"HGF"	"GBM"
"IGF1"	"GBM"
"IGSF6"	"GBM"
"IL18R1"	"GBM"
"IL1B"	"GBM"
"ISLR"	"GBM"
"ITGAM"	"GBM"
"ITGBL1"	"GBM"
"ITIH3"	"GBM"
"LMOD1"	"GBM"
"LRRC15"	"GBM"
"LUM"	"GBM"
"LY86"	"GBM"
"MAF"	"GBM"
"MFAP5"	"GBM"
"MMP3"	"GBM"
"MS4A4A"	"GBM"
"MS4A6A"	"GBM"
"MSR1"	"GBM"
"MXRA5"	"GBM"
"OLFML2B"	"GBM"
"PAPPA"	"GBM"
"PIK3R5"	"GBM"
"RGS4"	"GBM"
"SAMSN1"	"GBM"
"SERPING1"	"GBM"
"SGCD"	"GBM"
"SH2D1A"	"GBM"
"SP140"	"GBM"
"SULF1"	"GBM"
"TFEC"	"GBM"
"TLR2"	"GBM"
"TLR7"	"GBM"
"TNFSF4"	"GBM"
"TRAT1"	"GBM"
"VCAM1"	"GBM"
"VSIG4"	"GBM"
"WNT2"	"GBM"
"ABCA6"	"HNSC"
"ADAMTS5"	"HNSC"
"AIF1"	"HNSC"
"AOC3"	"HNSC"
"APBB1IP"	"HNSC"
"ATP8B4"	"HNSC"
"BTK"	"HNSC"
"C1QA"	"HNSC"
"C1QB"	"HNSC"
"C3AR1"	"HNSC"
"CCR1"	"HNSC"
"CD14"	"HNSC"
"CD163"	"HNSC"
"CD33"	"HNSC"
"CD86"	"HNSC"
"CD93"	"HNSC"
"CDH5"	"HNSC"
"CH25H"	"HNSC"
"CILP"	"HNSC"
"CLEC7A"	"HNSC"
"COL14A1"	"HNSC"
"COL15A1"	"HNSC"
"COL1A2"	"HNSC"
"COL3A1"	"HNSC"
"COL5A3"	"HNSC"
"COL6A3"	"HNSC"
"COX7A1"	"HNSC"
"CSF1R"	"HNSC"
"CXCL12"	"HNSC"
"CXCL9"	"HNSC"
"DCN"	"HNSC"
"DIO2"	"HNSC"
"ECM2"	"HNSC"
"EDNRA"	"HNSC"
"EGFL6"	"HNSC"
"EMCN"	"HNSC"
"ENPEP"	"HNSC"
"ENPP2"	"HNSC"
"ERG"	"HNSC"
"F13A1"	"HNSC"
"FAP"	"HNSC"
"FASLG"	"HNSC"
"FCGR2A"	"HNSC"
"FCGR2B"	"HNSC"
"FMO1"	"HNSC"
"FPR1"	"HNSC"
"FRZB"	"HNSC"
"GIMAP5"	"HNSC"
"GREM1"	"HNSC"
"HDC"	"HNSC"
"HEPH"	"HNSC"
"HGF"	"HNSC"
"IGF1"	"HNSC"
"IGSF6"	"HNSC"
"IL18R1"	"HNSC"
"ITIH3"	"HNSC"
"ITIH5"	"HNSC"
"ITM2A"	"HNSC"
"KCNJ8"	"HNSC"
"KDR"	"HNSC"
"LDB2"	"HNSC"
"LMOD1"	"HNSC"
"LRRC15"	"HNSC"
"LRRC32"	"HNSC"
"LY86"	"HNSC"
"MMP3"	"HNSC"
"MS4A4A"	"HNSC"
"MS4A6A"	"HNSC"
"MSR1"	"HNSC"
"MXRA5"	"HNSC"
"OLFML1"	"HNSC"
"OLFML2B"	"HNSC"
"PAPPA"	"HNSC"
"PCDH12"	"HNSC"
"PDE2A"	"HNSC"
"PDGFRB"	"HNSC"
"PIK3R5"	"HNSC"
"PLXDC1"	"HNSC"
"PLXNC1"	"HNSC"
"PTGER3"	"HNSC"
"PTGIS"	"HNSC"
"RAMP3"	"HNSC"
"RARRES2"	"HNSC"
"RASGRP3"	"HNSC"
"RGS4"	"HNSC"
"RSAD2"	"HNSC"
"RUNX1T1"	"HNSC"
"SAMSN1"	"HNSC"
"SERPING1"	"HNSC"
"SFRP4"	"HNSC"
"SGCD"	"HNSC"
"SH2D1A"	"HNSC"
"SIGLEC1"	"HNSC"
"SP140"	"HNSC"
"SPON1"	"HNSC"
"SPON2"	"HNSC"
"TFEC"	"HNSC"
"THBS2"	"HNSC"
"TLR2"	"HNSC"
"TLR7"	"HNSC"
"TNN"	"HNSC"
"TRAT1"	"HNSC"
"VCAM1"	"HNSC"
"VSIG4"	"HNSC"
"WISP1"	"HNSC"
"ZEB2"	"HNSC"
"ZNF423"	"HNSC"
"ABCA6"	"KICH"
"ADAM12"	"KICH"
"AIF1"	"KICH"
"AOC3"	"KICH"
"APBB1IP"	"KICH"
"ASPN"	"KICH"
"BGN"	"KICH"
"BTK"	"KICH"
"C1QA"	"KICH"
"C1QB"	"KICH"
"C3AR1"	"KICH"
"CCR1"	"KICH"
"CD14"	"KICH"
"CD163"	"KICH"
"CD200"	"KICH"
"CD248"	"KICH"
"CD33"	"KICH"
"CD86"	"KICH"
"CD93"	"KICH"
"CDH5"	"KICH"
"CH25H"	"KICH"
"CILP"	"KICH"
"CLEC7A"	"KICH"
"COL10A1"	"KICH"
"COL14A1"	"KICH"
"COL15A1"	"KICH"
"COL1A2"	"KICH"
"COL3A1"	"KICH"
"COL6A3"	"KICH"
"COL8A2"	"KICH"
"CSF1R"	"KICH"
"CXCL12"	"KICH"
"CXCL14"	"KICH"
"CXCL9"	"KICH"
"DCN"	"KICH"
"DDR2"	"KICH"
"ECM2"	"KICH"
"EDIL3"	"KICH"
"EDNRA"	"KICH"
"EMCN"	"KICH"
"ENPEP"	"KICH"
"ERG"	"KICH"
"F13A1"	"KICH"
"FAP"	"KICH"
"FASLG"	"KICH"
"FBLN2"	"KICH"
"FCGR2A"	"KICH"
"FCGR2B"	"KICH"
"FMO1"	"KICH"
"FPR1"	"KICH"
"FRZB"	"KICH"
"GIMAP5"	"KICH"
"GREM1"	"KICH"
"HDC"	"KICH"
"HEPH"	"KICH"
"HGF"	"KICH"
"IGSF6"	"KICH"
"IL18R1"	"KICH"
"IL1B"	"KICH"
"ISLR"	"KICH"
"ITGAM"	"KICH"
"ITM2A"	"KICH"
"KCNJ8"	"KICH"
"KDR"	"KICH"
"LDB2"	"KICH"
"LMOD1"	"KICH"
"LRRC32"	"KICH"
"LUM"	"KICH"
"LY86"	"KICH"
"MAF"	"KICH"
"MFAP5"	"KICH"
"MS4A4A"	"KICH"
"MS4A6A"	"KICH"
"MSR1"	"KICH"
"MXRA5"	"KICH"
"OLFML1"	"KICH"
"OLFML2B"	"KICH"
"PAPPA"	"KICH"
"PCDH12"	"KICH"
"PDE2A"	"KICH"
"PDGFRB"	"KICH"
"PIK3R5"	"KICH"
"PLXDC1"	"KICH"
"PRKG1"	"KICH"
"PTGIS"	"KICH"
"RAMP3"	"KICH"
"RASGRP3"	"KICH"
"RSAD2"	"KICH"
"SAMSN1"	"KICH"
"SERPING1"	"KICH"
"SGCD"	"KICH"
"SH2D1A"	"KICH"
"SIGLEC1"	"KICH"
"SP140"	"KICH"
"SPON1"	"KICH"
"SPON2"	"KICH"
"SULF1"	"KICH"
"TCF21"	"KICH"
"TFEC"	"KICH"
"THBS2"	"KICH"
"TLR2"	"KICH"
"TLR7"	"KICH"
"TNFSF4"	"KICH"
"TRAT1"	"KICH"
"VCAM1"	"KICH"
"VSIG4"	"KICH"
"ZEB2"	"KICH"
"ZFPM2"	"KICH"
"ABCA6"	"KIRC"
"ADAM12"	"KIRC"
"AIF1"	"KIRC"
"AOC3"	"KIRC"
"ASPN"	"KIRC"
"BTK"	"KIRC"
"C1QA"	"KIRC"
"C1QB"	"KIRC"
"C3AR1"	"KIRC"
"CCR1"	"KIRC"
"CD14"	"KIRC"
"CD163"	"KIRC"
"CD33"	"KIRC"
"CD86"	"KIRC"
"CD93"	"KIRC"
"CLEC7A"	"KIRC"
"COL14A1"	"KIRC"
"COL15A1"	"KIRC"
"COL1A2"	"KIRC"
"COL3A1"	"KIRC"
"COL6A3"	"KIRC"
"COL8A2"	"KIRC"
"CSF1R"	"KIRC"
"CXCL9"	"KIRC"
"DCN"	"KIRC"
"DDR2"	"KIRC"
"DIO2"	"KIRC"
"ECM2"	"KIRC"
"EDNRA"	"KIRC"
"F13A1"	"KIRC"
"FAP"	"KIRC"
"FASLG"	"KIRC"
"FBLN2"	"KIRC"
"FCGR2A"	"KIRC"
"FCGR2B"	"KIRC"
"FPR1"	"KIRC"
"GIMAP5"	"KIRC"
"GREM1"	"KIRC"
"HEPH"	"KIRC"
"HGF"	"KIRC"
"IGF1"	"KIRC"
"IGSF6"	"KIRC"
"IL1B"	"KIRC"
"ISLR"	"KIRC"
"ITGAM"	"KIRC"
"ITGBL1"	"KIRC"
"ITIH3"	"KIRC"
"ITM2A"	"KIRC"
"LMOD1"	"KIRC"
"LRRC32"	"KIRC"
"LUM"	"KIRC"
"LY86"	"KIRC"
"MFAP5"	"KIRC"
"MS4A4A"	"KIRC"
"MS4A6A"	"KIRC"
"MSR1"	"KIRC"
"OLFML1"	"KIRC"
"OLFML2B"	"KIRC"
"PDGFRB"	"KIRC"
"PIK3R5"	"KIRC"
"PLXDC1"	"KIRC"
"PLXNC1"	"KIRC"
"PTGIS"	"KIRC"
"RGS4"	"KIRC"
"RSAD2"	"KIRC"
"SAMSN1"	"KIRC"
"SERPING1"	"KIRC"
"SGCD"	"KIRC"
"SH2D1A"	"KIRC"
"SIGLEC1"	"KIRC"
"SP140"	"KIRC"
"SULF1"	"KIRC"
"TCF21"	"KIRC"
"THBS2"	"KIRC"
"TLR2"	"KIRC"
"TLR7"	"KIRC"
"TRAT1"	"KIRC"
"VSIG4"	"KIRC"
"WISP1"	"KIRC"
"ZEB2"	"KIRC"
"ZFPM2"	"KIRC"
"ZNF423"	"KIRC"
"ABCA6"	"KIRP"
"AIF1"	"KIRP"
"AOC3"	"KIRP"
"ATP8B4"	"KIRP"
"BTK"	"KIRP"
"C1QA"	"KIRP"
"C1QB"	"KIRP"
"C3AR1"	"KIRP"
"CCR1"	"KIRP"
"CD14"	"KIRP"
"CD163"	"KIRP"
"CD33"	"KIRP"
"CD86"	"KIRP"
"CD93"	"KIRP"
"CH25H"	"KIRP"
"CLEC7A"	"KIRP"
"COL15A1"	"KIRP"
"COL1A2"	"KIRP"
"COL6A3"	"KIRP"
"COL8A2"	"KIRP"
"CSF1R"	"KIRP"
"CXCL12"	"KIRP"
"CXCL9"	"KIRP"
"DCN"	"KIRP"
"ECM2"	"KIRP"
"ERG"	"KIRP"
"F13A1"	"KIRP"
"FAP"	"KIRP"
"FASLG"	"KIRP"
"FBLN2"	"KIRP"
"FCGR2A"	"KIRP"
"FCGR2B"	"KIRP"
"FPR1"	"KIRP"
"GIMAP5"	"KIRP"
"HDC"	"KIRP"
"HEPH"	"KIRP"
"HGF"	"KIRP"
"IGF1"	"KIRP"
"IGSF6"	"KIRP"
"IL1B"	"KIRP"
"ISLR"	"KIRP"
"ITGAM"	"KIRP"
"ITIH3"	"KIRP"
"LRRC15"	"KIRP"
"LUM"	"KIRP"
"LY86"	"KIRP"
"MS4A4A"	"KIRP"
"MS4A6A"	"KIRP"
"MSR1"	"KIRP"
"PDE2A"	"KIRP"
"PIK3R5"	"KIRP"
"PLXDC1"	"KIRP"
"PLXNC1"	"KIRP"
"RAMP3"	"KIRP"
"RASGRP3"	"KIRP"
"SAMSN1"	"KIRP"
"SERPING1"	"KIRP"
"SH2D1A"	"KIRP"
"SIGLEC1"	"KIRP"
"SP140"	"KIRP"
"TCF21"	"KIRP"
"TLR2"	"KIRP"
"TLR7"	"KIRP"
"TRAT1"	"KIRP"
"VSIG4"	"KIRP"
"WISP1"	"KIRP"
"ZEB2"	"KIRP"
"ABCA6"	"LGG"
"AIF1"	"LGG"
"APBB1IP"	"LGG"
"ATP8B4"	"LGG"
"BTK"	"LGG"
"C1QA"	"LGG"
"C1QB"	"LGG"
"C3AR1"	"LGG"
"CCR1"	"LGG"
"CD14"	"LGG"
"CD33"	"LGG"
"CD86"	"LGG"
"CH25H"	"LGG"
"CLEC7A"	"LGG"
"COL5A3"	"LGG"
"COL8A2"	"LGG"
"COX7A1"	"LGG"
"CSF1R"	"LGG"
"CXCL14"	"LGG"
"DDR2"	"LGG"
"ECM2"	"LGG"
"EDIL3"	"LGG"
"ENPP2"	"LGG"
"FAP"	"LGG"
"FBLN2"	"LGG"
"FCGR2A"	"LGG"
"FPR1"	"LGG"
"FRZB"	"LGG"
"GIMAP5"	"LGG"
"GREM1"	"LGG"
"HEPH"	"LGG"
"HGF"	"LGG"
"IGF1"	"LGG"
"IGSF6"	"LGG"
"IL18R1"	"LGG"
"ISLR"	"LGG"
"ITGAM"	"LGG"
"LY86"	"LGG"
"MAF"	"LGG"
"MFAP5"	"LGG"
"MSR1"	"LGG"
"PIK3R5"	"LGG"
"PRKG1"	"LGG"
"RAMP3"	"LGG"
"RARRES2"	"LGG"
"RASGRP3"	"LGG"
"SAMSN1"	"LGG"
"SERPING1"	"LGG"
"SFRP4"	"LGG"
"SH2D1A"	"LGG"
"SP140"	"LGG"
"SULF1"	"LGG"
"TFEC"	"LGG"
"TLR2"	"LGG"
"TLR7"	"LGG"
"VCAM1"	"LGG"
"VSIG4"	"LGG"
"ADAM12"	"LIHC"
"AIF1"	"LIHC"
"AOC3"	"LIHC"
"APBB1IP"	"LIHC"
"ASPN"	"LIHC"
"ATP8B4"	"LIHC"
"BGN"	"LIHC"
"BTK"	"LIHC"
"C1QA"	"LIHC"
"C1QB"	"LIHC"
"C3AR1"	"LIHC"
"CCR1"	"LIHC"
"CD163"	"LIHC"
"CD200"	"LIHC"
"CD248"	"LIHC"
"CD33"	"LIHC"
"CD86"	"LIHC"
"CD93"	"LIHC"
"CDH5"	"LIHC"
"CH25H"	"LIHC"
"CILP"	"LIHC"
"CLEC7A"	"LIHC"
"COL10A1"	"LIHC"
"COL14A1"	"LIHC"
"COL15A1"	"LIHC"
"COL1A2"	"LIHC"
"COL3A1"	"LIHC"
"COL6A3"	"LIHC"
"COL8A2"	"LIHC"
"COMP"	"LIHC"
"COX7A1"	"LIHC"
"CSF1R"	"LIHC"
"CXCL12"	"LIHC"
"CXCL14"	"LIHC"
"CXCL9"	"LIHC"
"DCN"	"LIHC"
"DDR2"	"LIHC"
"DIO2"	"LIHC"
"EDIL3"	"LIHC"
"EDNRA"	"LIHC"
"EGFL6"	"LIHC"
"EMCN"	"LIHC"
"ERG"	"LIHC"
"F13A1"	"LIHC"
"FAP"	"LIHC"
"FASLG"	"LIHC"
"FBLN2"	"LIHC"
"FCGR2A"	"LIHC"
"FCGR2B"	"LIHC"
"FOXF1"	"LIHC"
"FPR1"	"LIHC"
"FRZB"	"LIHC"
"GIMAP5"	"LIHC"
"GREM1"	"LIHC"
"HDC"	"LIHC"
"HEPH"	"LIHC"
"HGF"	"LIHC"
"IGSF6"	"LIHC"
"IL18R1"	"LIHC"
"IL1B"	"LIHC"
"ISLR"	"LIHC"
"ITGAM"	"LIHC"
"ITGBL1"	"LIHC"
"ITIH5"	"LIHC"
"ITM2A"	"LIHC"
"KDR"	"LIHC"
"LDB2"	"LIHC"
"LMOD1"	"LIHC"
"LRRC15"	"LIHC"
"LRRC32"	"LIHC"
"LUM"	"LIHC"
"LY86"	"LIHC"
"MAF"	"LIHC"
"MFAP5"	"LIHC"
"MS4A4A"	"LIHC"
"MS4A6A"	"LIHC"
"MSR1"	"LIHC"
"MXRA5"	"LIHC"
"NOX4"	"LIHC"
"OLFML1"	"LIHC"
"OLFML2B"	"LIHC"
"PAPPA"	"LIHC"
"PCDH12"	"LIHC"
"PDE2A"	"LIHC"
"PDGFRB"	"LIHC"
"PIK3R5"	"LIHC"
"PLXDC1"	"LIHC"
"PRKG1"	"LIHC"
"PTGER3"	"LIHC"
"PTGIS"	"LIHC"
"RAMP3"	"LIHC"
"RASGRP3"	"LIHC"
"RGS4"	"LIHC"
"RUNX1T1"	"LIHC"
"SAMSN1"	"LIHC"
"SFRP4"	"LIHC"
"SGCD"	"LIHC"
"SH2D1A"	"LIHC"
"SIGLEC1"	"LIHC"
"SP140"	"LIHC"
"SPON1"	"LIHC"
"SULF1"	"LIHC"
"TCF21"	"LIHC"
"TFEC"	"LIHC"
"THBS2"	"LIHC"
"TLR2"	"LIHC"
"TLR7"	"LIHC"
"TRAT1"	"LIHC"
"VCAM1"	"LIHC"
"VSIG4"	"LIHC"
"WISP1"	"LIHC"
"WNT2"	"LIHC"
"ZEB2"	"LIHC"
"ZFPM2"	"LIHC"
"ZNF423"	"LIHC"
"ABCA6"	"LUAD"
"ACTG2"	"LUAD"
"ADAM12"	"LUAD"
"AIF1"	"LUAD"
"AOC3"	"LUAD"
"APBB1IP"	"LUAD"
"ARHGAP28"	"LUAD"
"ASPN"	"LUAD"
"ATP8B4"	"LUAD"
"BGN"	"LUAD"
"BTK"	"LUAD"
"C1QA"	"LUAD"
"C1QB"	"LUAD"
"C3AR1"	"LUAD"
"CCR1"	"LUAD"
"CD14"	"LUAD"
"CD163"	"LUAD"
"CD200"	"LUAD"
"CD248"	"LUAD"
"CD33"	"LUAD"
"CD86"	"LUAD"
"CD93"	"LUAD"
"CDH5"	"LUAD"
"CH25H"	"LUAD"
"CILP"	"LUAD"
"CLEC7A"	"LUAD"
"COL14A1"	"LUAD"
"COL15A1"	"LUAD"
"COL1A2"	"LUAD"
"COL3A1"	"LUAD"
"COL5A3"	"LUAD"
"COL6A3"	"LUAD"
"COL8A2"	"LUAD"
"COX7A1"	"LUAD"
"CSF1R"	"LUAD"
"CXCL12"	"LUAD"
"CXCL14"	"LUAD"
"CXCL9"	"LUAD"
"DCN"	"LUAD"
"DDR2"	"LUAD"
"DIO2"	"LUAD"
"ECM2"	"LUAD"
"EDNRA"	"LUAD"
"EGFL6"	"LUAD"
"EMCN"	"LUAD"
"ENPP2"	"LUAD"
"ERG"	"LUAD"
"F13A1"	"LUAD"
"FAP"	"LUAD"
"FASLG"	"LUAD"
"FBLN2"	"LUAD"
"FCGR2A"	"LUAD"
"FCGR2B"	"LUAD"
"FMO1"	"LUAD"
"FOXF1"	"LUAD"
"FPR1"	"LUAD"
"FRZB"	"LUAD"
"GIMAP5"	"LUAD"
"GREM1"	"LUAD"
"HDC"	"LUAD"
"HEPH"	"LUAD"
"HGF"	"LUAD"
"IGF1"	"LUAD"
"IGSF6"	"LUAD"
"IL18R1"	"LUAD"
"IL1B"	"LUAD"
"ISLR"	"LUAD"
"ITGAM"	"LUAD"
"ITGBL1"	"LUAD"
"ITIH3"	"LUAD"
"ITIH5"	"LUAD"
"ITM2A"	"LUAD"
"KCNJ8"	"LUAD"
"LDB2"	"LUAD"
"LMOD1"	"LUAD"
"LRRC15"	"LUAD"
"LRRC32"	"LUAD"
"LUM"	"LUAD"
"LY86"	"LUAD"
"MAF"	"LUAD"
"MMP3"	"LUAD"
"MS4A4A"	"LUAD"
"MS4A6A"	"LUAD"
"MSR1"	"LUAD"
"MXRA5"	"LUAD"
"OLFML1"	"LUAD"
"OLFML2B"	"LUAD"
"PCDH12"	"LUAD"
"PDE2A"	"LUAD"
"PDGFRB"	"LUAD"
"PIK3R5"	"LUAD"
"PLXDC1"	"LUAD"
"PLXNC1"	"LUAD"
"PRKG1"	"LUAD"
"PTGIS"	"LUAD"
"RAMP3"	"LUAD"
"RARRES2"	"LUAD"
"RASGRP3"	"LUAD"
"RGS4"	"LUAD"
"RSAD2"	"LUAD"
"RUNX1T1"	"LUAD"
"SAMSN1"	"LUAD"
"SERPING1"	"LUAD"
"SGCD"	"LUAD"
"SH2D1A"	"LUAD"
"SIGLEC1"	"LUAD"
"SP140"	"LUAD"
"SPON1"	"LUAD"
"SULF1"	"LUAD"
"TCF21"	"LUAD"
"TFEC"	"LUAD"
"THBS2"	"LUAD"
"TLR2"	"LUAD"
"TLR7"	"LUAD"
"TNFSF4"	"LUAD"
"TNN"	"LUAD"
"TRAT1"	"LUAD"
"VCAM1"	"LUAD"
"VSIG4"	"LUAD"
"WISP1"	"LUAD"
"WNT2"	"LUAD"
"ZEB2"	"LUAD"
"ZFPM2"	"LUAD"
"ZNF423"	"LUAD"
"ABCA6"	"LUSC"
"ACTG2"	"LUSC"
"ADAM12"	"LUSC"
"ADAMTS5"	"LUSC"
"AIF1"	"LUSC"
"AOC3"	"LUSC"
"APBB1IP"	"LUSC"
"ASPN"	"LUSC"
"ATP8B4"	"LUSC"
"BGN"	"LUSC"
"BTK"	"LUSC"
"C1QA"	"LUSC"
"C1QB"	"LUSC"
"C3AR1"	"LUSC"
"CCR1"	"LUSC"
"CD14"	"LUSC"
"CD163"	"LUSC"
"CD248"	"LUSC"
"CD33"	"LUSC"
"CD86"	"LUSC"
"CD93"	"LUSC"
"CDH5"	"LUSC"
"CH25H"	"LUSC"
"CILP"	"LUSC"
"CLEC7A"	"LUSC"
"COL10A1"	"LUSC"
"COL14A1"	"LUSC"
"COL15A1"	"LUSC"
"COL1A2"	"LUSC"
"COL3A1"	"LUSC"
"COL5A3"	"LUSC"
"COL6A3"	"LUSC"
"COL8A2"	"LUSC"
"COMP"	"LUSC"
"COX7A1"	"LUSC"
"CSF1R"	"LUSC"
"CXCL12"	"LUSC"
"CXCL9"	"LUSC"
"DCN"	"LUSC"
"DDR2"	"LUSC"
"DIO2"	"LUSC"
"ECM2"	"LUSC"
"EDNRA"	"LUSC"
"EGFL6"	"LUSC"
"EMCN"	"LUSC"
"ENPEP"	"LUSC"
"ENPP2"	"LUSC"
"ERG"	"LUSC"
"F13A1"	"LUSC"
"FAP"	"LUSC"
"FASLG"	"LUSC"
"FBLN2"	"LUSC"
"FCGR2A"	"LUSC"
"FCGR2B"	"LUSC"
"FMO1"	"LUSC"
"FOXF1"	"LUSC"
"FPR1"	"LUSC"
"FRZB"	"LUSC"
"GIMAP5"	"LUSC"
"GREM1"	"LUSC"
"HDC"	"LUSC"
"HEPH"	"LUSC"
"HGF"	"LUSC"
"IGF1"	"LUSC"
"IGSF6"	"LUSC"
"IL18R1"	"LUSC"
"IL1B"	"LUSC"
"ISLR"	"LUSC"
"ITGAM"	"LUSC"
"ITGBL1"	"LUSC"
"ITIH3"	"LUSC"
"ITIH5"	"LUSC"
"ITM2A"	"LUSC"
"KCNJ8"	"LUSC"
"KDR"	"LUSC"
"LDB2"	"LUSC"
"LMOD1"	"LUSC"
"LRRC15"	"LUSC"
"LRRC32"	"LUSC"
"LUM"	"LUSC"
"LY86"	"LUSC"
"MAF"	"LUSC"
"MMP3"	"LUSC"
"MS4A4A"	"LUSC"
"MS4A6A"	"LUSC"
"MSR1"	"LUSC"
"MXRA5"	"LUSC"
"NOX4"	"LUSC"
"OLFML1"	"LUSC"
"OLFML2B"	"LUSC"
"PAPPA"	"LUSC"
"PCDH12"	"LUSC"
"PDE2A"	"LUSC"
"PDGFRB"	"LUSC"
"PIK3R5"	"LUSC"
"PLXDC1"	"LUSC"
"PLXNC1"	"LUSC"
"PTGER3"	"LUSC"
"PTGIS"	"LUSC"
"RAMP3"	"LUSC"
"RARRES2"	"LUSC"
"RASGRP3"	"LUSC"
"RGS4"	"LUSC"
"RSAD2"	"LUSC"
"RUNX1T1"	"LUSC"
"SAMSN1"	"LUSC"
"SERPING1"	"LUSC"
"SFRP4"	"LUSC"
"SGCD"	"LUSC"
"SH2D1A"	"LUSC"
"SIGLEC1"	"LUSC"
"SP140"	"LUSC"
"SPON1"	"LUSC"
"SPON2"	"LUSC"
"SULF1"	"LUSC"
"TCF21"	"LUSC"
"TFEC"	"LUSC"
"THBS2"	"LUSC"
"TLR2"	"LUSC"
"TLR7"	"LUSC"
"TNFSF4"	"LUSC"
"TNN"	"LUSC"
"TRAT1"	"LUSC"
"VCAM1"	"LUSC"
"VSIG4"	"LUSC"
"WISP1"	"LUSC"
"WNT2"	"LUSC"
"ZEB2"	"LUSC"
"ZFPM2"	"LUSC"
"ZNF423"	"LUSC"
"ADAM12"	"MESO"
"AIF1"	"MESO"
"AOC3"	"MESO"
"APBB1IP"	"MESO"
"ATP8B4"	"MESO"
"BTK"	"MESO"
"C1QA"	"MESO"
"C1QB"	"MESO"
"C3AR1"	"MESO"
"CCR1"	"MESO"
"CD163"	"MESO"
"CD33"	"MESO"
"CD86"	"MESO"
"CD93"	"MESO"
"CDH5"	"MESO"
"CH25H"	"MESO"
"CLEC7A"	"MESO"
"COL15A1"	"MESO"
"COL3A1"	"MESO"
"COX7A1"	"MESO"
"CSF1R"	"MESO"
"CXCL12"	"MESO"
"CXCL9"	"MESO"
"EMCN"	"MESO"
"ENPEP"	"MESO"
"ENPP2"	"MESO"
"ERG"	"MESO"
"F13A1"	"MESO"
"FAP"	"MESO"
"FASLG"	"MESO"
"FBLN2"	"MESO"
"FCGR2A"	"MESO"
"FPR1"	"MESO"
"GIMAP5"	"MESO"
"GREM1"	"MESO"
"HEPH"	"MESO"
"HGF"	"MESO"
"IGF1"	"MESO"
"IGSF6"	"MESO"
"IL18R1"	"MESO"
"ITGAM"	"MESO"
"ITM2A"	"MESO"
"LDB2"	"MESO"
"LMOD1"	"MESO"
"LRRC32"	"MESO"
"LY86"	"MESO"
"MFAP5"	"MESO"
"MS4A4A"	"MESO"
"MS4A6A"	"MESO"
"MSR1"	"MESO"
"OLFML2B"	"MESO"
"PAPPA"	"MESO"
"PCDH12"	"MESO"
"PDGFRB"	"MESO"
"PIK3R5"	"MESO"
"PLXDC1"	"MESO"
"PLXNC1"	"MESO"
"RAMP3"	"MESO"
"RASGRP3"	"MESO"
"RSAD2"	"MESO"
"SAMSN1"	"MESO"
"SFRP4"	"MESO"
"SH2D1A"	"MESO"
"SIGLEC1"	"MESO"
"SP140"	"MESO"
"SPON1"	"MESO"
"TFEC"	"MESO"
"TLR2"	"MESO"
"TLR7"	"MESO"
"TNFSF4"	"MESO"
"TRAT1"	"MESO"
"VCAM1"	"MESO"
"VSIG4"	"MESO"
"WNT2"	"MESO"
"ZEB2"	"MESO"
"ABCA6"	"OV"
"ACTG2"	"OV"
"ADAM12"	"OV"
"ADAMTS5"	"OV"
"AIF1"	"OV"
"AOC3"	"OV"
"APBB1IP"	"OV"
"ARHGAP28"	"OV"
"ASPN"	"OV"
"ATP8B4"	"OV"
"BGN"	"OV"
"BTK"	"OV"
"C1QA"	"OV"
"C1QB"	"OV"
"C3AR1"	"OV"
"CCR1"	"OV"
"CD14"	"OV"
"CD163"	"OV"
"CD248"	"OV"
"CD33"	"OV"
"CD86"	"OV"
"CD93"	"OV"
"CDH5"	"OV"
"CH25H"	"OV"
"CILP"	"OV"
"CLEC7A"	"OV"
"COL10A1"	"OV"
"COL15A1"	"OV"
"COL1A2"	"OV"
"COL3A1"	"OV"
"COL5A3"	"OV"
"COL6A3"	"OV"
"COL8A2"	"OV"
"COMP"	"OV"
