"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
""	""	""	""	""	""	""	""	"TRAF1"	""	""	""	""	""	"PILRA"	""	""	""
""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	"PLEK"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTP4A2"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS19"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC11A1"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TLR2"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TLR8"	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WAS"	""	""	""
