"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
""	""	"HLA-DQA1"	""	"NAGPA"	""	""	""	"ITK"	"ITK"	"PRF1"	""	"SLAMF8"	""	"LILRB1"	""	""	""
""	""	"IDO1"	""	"NCF2"	""	""	""	"LY9"	"KLRD1"	"PTPN7"	""	"SLC31A1"	""	"LILRB2"	""	""	""
""	""	"IL10RA"	""	"NCKAP1L"	""	""	""	"MBNL1"	"KLRK1"	"PVRIG"	""	"TFEC"	""	"LILRB3"	""	""	""
""	""	"IL2RA"	""	"NECAP2"	""	""	""	"NECAP2"	"LY9"	"SASH3"	""	"TMEM33"	""	"LRRFIP1"	""	""	""
""	""	"ITGAX"	""	"NSMAF"	""	""	""	"NFKB1"	"MYO1F"	""	""	"TNIP3"	""	"MEFV"	""	""	""
""	""	"KDM6B"	""	"NUMB"	""	""	""	"OSM"	"NFKB1"	""	""	"TPP1"	""	"MNDA"	""	""	""
""	""	"KYNU"	""	"PILRA"	""	""	""	"PIK3IP1"	"NKG7"	""	""	""	""	"MS4A6A"	""	""	""
""	""	"LILRB1"	""	"PLA2G7"	""	""	""	"PTGER2"	"PIK3IP1"	""	""	""	""	"MYO1F"	""	""	""
""	""	"LILRB2"	""	"PLEKHB2"	""	""	""	"PVRIG"	"PRF1"	""	""	""	""	"NCF2"	""	""	""
""	""	"MNDA"	""	"SIGLEC1"	""	""	""	"SAMSN1"	"PVRIG"	""	""	""	""	"NCF4"	""	""	""
""	""	"MS4A6A"	""	"SLAMF8"	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	"OSM"	""	""	""
""	""	"MTHFD2"	""	"SLC31A1"	""	""	""	"STAP1"	"SASH3"	""	""	""	""	"P2RY13"	""	""	""
""	""	"NAGPA"	""	"SNX2"	""	""	""	"TNFSF8"	"TNFSF8"	""	""	""	""	"PILRA"	""	""	""
""	""	"NCF2"	""	"TFEC"	""	""	""	"TRAF1"	"WAS"	""	""	""	""	"PLEK"	""	""	""
""	""	"NECAP2"	""	"TMEM33"	""	""	""	"TRAT1"	"ZC3HAV1"	""	""	""	""	"PTEN"	""	""	""
""	""	"NFKB1"	""	"TPP1"	""	""	""	"ZC3HAV1"	""	""	""	""	""	"SAMSN1"	""	""	""
""	""	"OSM"	""	""	""	""	""	""	""	""	""	""	""	"TLR8"	""	""	""
""	""	"PITPNA"	""	""	""	""	""	""	""	""	""	""	""	"VASP"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	""	""	""	""	""	""	"WAS"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"RUNX2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
